i	arc	where	status	verdict	note	quote
20	B58_phaseA	B58_phaseA/B62_STATUS.md:16	LEAD	SUPERSEDED	B742/B745 (2026-07-21) computed the ambient SL(4) Jacobian and reproduce B59's factorisation; B58's 'not derived here' is negated by its own correction header	the power-assignment at heights other than 2 is not derived here.
21	B58_phaseA	B58_phaseA/B62_STATUS.md:37	UNSWEEPABLE	STANDS	no explicit f(n,d), d != 2, anywhere (B62 status doc); the later B742/B745 work is the SL(4) Jacobian, not f(n,d)	There is no explicit f(n,d) in B62 for d≠2
23	B58_phaseA	B58_phaseA/NILPOTENT_LIMIT_TEST.md:22	LEAD	NOISE	own files	So the picture is a prettier description of the single-block part, not a proof across the barrier
24	B58_phaseA	B58_phaseA/SYM_DECOMPOSITION.md:184	LEAD	NOISE	own file	construction is a different, non-Kostant object that is not derived; it does not revive the
25	B58_sl4_tower_test	B58_sl4_tower_test/FINDINGS.md, 'Verdict' section	LEAD	SUPERSEDED	B58_sl4_tower_test correction header: headline negated by B742+B745	the ambient SL(4,C) trace-map construction, which is not built here.
26	B58_sl4_tower_test	B58_sl4_tower_test/README.md, 'Why The Prediction Is Not Tested Here'	LEAD	SUPERSEDED	as #25	That construction is not built here (it is a substantial trace-identity computation).
28	B68_aj_conjecture	frontier/B68_aj_conjecture/exact_recursion.py lines 18-19	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the exact recursion|_{q=1}=A identity is NOT newly established here
29	B68_aj_conjecture	frontier/B68_aj_conjecture/FINDINGS_E.md line 40	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the exact figure-eight quantum A-polynomial recursion |_{q=1} = A identity remains a literature theorem (Garoufalidis-Le), not re-derived in-house
30	B68_aj_conjecture	frontier/B68_aj_conjecture/probe.py lines 21-26	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the exact identity 'recursion|_{q=1} = A' is a proven theorem for the figure-eight (Le; Garoufalidis), but A has only even M-powers => the quantum convention is M_rec = q^N = (meridian)^2, and rewriting A there gives L-degree 2 / M_rec-degree 4. Extracting the exact q=1 limit needs the exact q-deformed recursion... near q=1 the numeric nullspace is ill-conditioned
31	B69_metallic_apoly_family	frontier/B69_metallic_apoly_family/FINDINGS.md lines 51-54	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Novelty: NOT established... Whether the metallic-family packaging is new vs implicit in twist-knot A-polynomial work (Hoste-Shanahan) needs a literature check before any novelty claim.
32	B69_metallic_apoly_family	frontier/B69_metallic_apoly_family/FINDINGS.md line 37	LEAD	CONSISTENT	metallic_family.py absent; only registries mention it	metallic_family.py -- referenced by the handoff but absent from the bundle (flagged).
33	B70_trace_ring	frontier/B70_trace_ring/FINDINGS.md:67	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"The optimistic ""one generator closes it"" is refuted (the content is genuinely two-index past (1,1))"
34	B70_trace_ring	frontier/B70_trace_ring/FINDINGS.md:80	LEAD	NOISE	ledger echo	labeled computer-assisted structural characterization, not PROVEN. Proven core untouched.
35	B71_sl3_apoly	frontier/B71_sl3_apoly/FINDINGS.md:44	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No Magma/Sage/internet needed.
36	B71_sl3_apoly	frontier/B71_sl3_apoly/FINDINGS.md:125	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No clean closed A-variety form exists ... their eliminated Groebner basis is 141 polynomials
37	B71_sl3_apoly	frontier/B71_sl3_apoly/v0_geometric.py:70-71	LEAD	NOISE	B201/B73 pursue their own A-variety forms	=> NO clean monomial relation is constant on V0; the geometric A-variety is a large ideal (no tidy form)
38	B73_sl4_apoly	frontier/B73_sl4_apoly/probe.py:21-23	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	a direct numerical fixed-locus search for SL(4) bundle reps at candidate root-of-unity A-spectra ... found NONE
39	B73_sl4_apoly	frontier/B73_sl4_apoly/probe.py:20	UNSWEEPABLE	OPEN_LATER	an SL(4) symbolic family exists later (B89_sl4_symbolic_M4L, B58/B742 ambient Jacobian); whether it is 'the SL(4) trace map' B73 lacks is a definitional question	the SL(4) trace map (B48 is SL(3) only)
40	B73_sl4_apoly	frontier/B73_sl4_apoly/probe.py:23-24	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	so the degree-4 / j=1728 hypotheses are UNTESTED here; recorded as open, not claimed
41	B74_higher_spin_grading	frontier/B74_higher_spin_grading/FINDINGS.md:68-69	LEAD	CONSISTENT	no W_N identification anywhere; SLN skeleton restates	There is NO computation making the metallic eigenvalues L_k a W_N CFT / higher-spin mode spectrum
42	B74_higher_spin_grading	frontier/B74_higher_spin_grading/FINDINGS.md:69	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the full Dickson tower is a strictly richer object than the W_N spin list
43	B74_higher_spin_grading	frontier/B74_higher_spin_grading/FINDINGS.md:26	UNSWEEPABLE	CONSISTENT	standard (W_N has spins 2..N)	W_N (sl, not gl) has no spin-1
44	B75_metallic_degree_rank	frontier/B75_metallic_degree_rank/FINDINGS.md:50-51	LEAD	SUPERSEDED	B78/B88 pursue the same search; B88 reports Dehn-filling components at rank 4 (degrees 3,4) — B75's n=3 null is superseded to the extent B88 covers it (rank 4), the m=3/n=3 cell itself not re-run there	no clean Dehn-filling component found at n=3 across a broad sweep of 61 product-1 finite-order spectra
45	B75_metallic_degree_rank	frontier/B75_metallic_degree_rank/FINDINGS.md:57-58	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the metallic m≠1 test at n=4 ... is OPEN. The n-axis discriminator is already covered at m=1
46	B76_cusp_quantum_group	frontier/B76_cusp_quantum_group/FINDINGS.md:36	LEAD	CONSISTENT	physics_probes/METALLIC_ANYON_FINDINGS.md is the source of the same controlled negative	For m≥2 there is no unitary fusion category — no metallic-anyon / MTC family.
47	B76_cusp_quantum_group	frontier/B76_cusp_quantum_group/FINDINGS.md:43-45	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	NO categorical lift (SPECULATIVE-ANALOGY). There is no MTC/TQFT realization of the metallic family (V28): no functor from the metallic-bundle cusps to a modular tensor category for m≥2.
48	B77_degree_rank_mechanism	frontier/B77_degree_rank_mechanism/FINDINGS.md:29-31	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The meridian eigenvalues eig(mu)=eig(t) ... are generic and vary continuously across the component ... not roots of unity, not metallic, and not the fixed Dickson char(M^n) roots
49	B78_degree_rank_n5	frontier/B78_degree_rank_n5/FINDINGS.md:29-30	LEAD	NOISE	B153 later discusses degeneration, does not locate the rep	the irreducible principal Dehn-filling rep is not numerically locatable this way
51	B79_mn_table	frontier/B79_mn_table/FINDINGS.md:22-26	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	no clean Dehn-filling component for the m=2 bundle at n=3 — over odd-order spectra ... a broad 61-spectrum sweep ... and a fresh 63-spectrum even-order sweep ... the component itself is not numerically locatable
52	B79_mn_table	frontier/B79_mn_table/FINDINGS.md:28-29	LEAD	CONSISTENT	B75 restates; n=4 spectra never located	the phi_m^2 n=4 Dehn-filling spectra ... were not located
53	B80_sl4_adproof	frontier/B80_sl4_adproof/FINDINGS.md:24-25	LEAD	CONSISTENT	B70's own stalled script is the only hit	B70 tried the symbolic-m eps-series pinv-limit directly over Q[m] and stalled at SL(4) (L=12)
55	B82_consolidation	frontier/B82_consolidation/FINDINGS.md:66	UNSWEEPABLE	CONSISTENT	B82's own verdict ('no physics here') — the seat's reading agrees	Verdict: there is no physics here.
57	B83_sln_apolynomial	frontier/B83_sln_apolynomial/FINDINGS.md:24	LEAD	OPEN_LATER	B742/B745's eps-extrapolated pinv route reached SL(4) (15x15); SL(5) principal component still not located numerically as far as the sweep shows	the principal SL(5) component is not numerically locatable (B78)
58	B83_sln_apolynomial	frontier/B83_sln_apolynomial/FINDINGS.md:41-42	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The full derivation of why the principal component's slope equals the rank is deferred
59	B84_sl5_gauge_barrier	frontier/B84_sl5_gauge_barrier/FINDINGS.md:35	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No numerical gauge-fix, θ-split, or seed-averaging can recover the SL(5) tower from the pinv-limit.
60	B85_tower_lynchpin	frontier/B85_tower_lynchpin/FINDINGS.md:34-35	LEAD	SUPERSEDED	'numerical routes are DEAD' is negated by B742/B745 (B58_sl4 correction header): the pinv-ratio route converges at SL(4)	Numerical routes are DEAD (B84/V67): the ε-series pinv-limit does not converge canonically at the char(M^2)^2 sector
61	B85_tower_lynchpin	frontier/B85_tower_lynchpin/FINDINGS.md:51	LEAD	SUPERSEDED	as #60	No numerical or representation shortcut remains
62	B86_unification_synthesis	frontier/B86_unification_synthesis/FINDINGS.md:34	LEAD	NOISE		The external check cannot be closed here (the standing rule is no external contact)
63	B86_unification_synthesis	frontier/B86_unification_synthesis/FINDINGS.md:45	LEAD	NOISE		no promotion to CLAIMS.md without the GOVERNANCE §5 gate; EXPERT_OUTREACH.md dormant
64	B87_m3_genus	FINDINGS.md line 56-58 (2026-07-09 addendum)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the exact solve needs Magma (or the Ptolemy database), neither available in-session
65	B87_m3_genus	FINDINGS.md line 61-63	LEAD	CONSISTENT	open edge restated (B69 novelty check)	The SL(2,ℂ) A-polynomial genus for m ≥ 2 remains a genuine open edge
67	B96_geometry_invariants	FINDINGS.md line 33-34	LEAD	CONSISTENT	Sage unavailable on this bench as well; R33/R35 compute trace fields without it	SnapPy's exact adjoint torsion requires Sage (unavailable standalone)
68	B96_geometry_invariants	FINDINGS.md line 34-35	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	a from-scratch Dimofte–Garoufalidis 1-loop invariant did not calibrate to the known τ₁=−3, τ₂=−16 here, so it is not reported as a number
74	B106_dehn_filling_anatomy	FINDINGS.md D3	LEAD	CONSISTENT	P2W6-B106 re-examines, still open	**Exhaustiveness** over *all* rank-4 spectra needs the symbolic `Fix(T₁²)` (the B71 route at rank 4) — **open**
77	B109_trace_map_dynamics	LITERATURE_L5.md Task 4	LEAD	NOISE		Verify-don't-trust caveat: a negative literature search is not a proof of novelty; flagged for a specialist read before any published novelty claim.
78	B110_off_locus_sector	FINDINGS.md 'the answer' section	LEAD	CONSISTENT	B115 restates the empty off-locus sector at SL(3)	there is no figure-eight SL(3) irreducible rep off the forced locus: the off-locus sector is **EMPTY for 4₁ at SL(3)**
79	B110_off_locus_sector	FINDINGS.md honest scope section	LEAD	CONSISTENT		The broader S011 fork — off-principal **multichannel** content at **higher rank** or for **other manifolds** — is **not** settled here and stays **OPEN**
80	B115_higher_generality	FINDINGS.md #5	LEAD	CONSISTENT	literature absence	there is **no SL(4) figure-eight character-variety classification** (the SL(3) one is Heusener-Muñoz-Porti arXiv:1505.04451; no SL(4) analogue exists in the literature)
81	B115_higher_generality	FINDINGS.md #4	LEAD	CONSISTENT		this needs a **genus-2 SL(n) character-variety construction not in the repo**
82	B117_interleaving	FINDINGS.md 'Path 4' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	n=6 is gauge-corrupted, so this is a consistency check, not a decisive test
83	B119_mk_scalar_mechanism	FINDINGS.md 'the brave k=n attempt' section	LEAD	CONSISTENT	B95 is the source of the same negative	the principal Dehn-filling rep does **not exist irreducibly** (B95 — at n=5 the forced spectrum {1,1,1,-1,-1} has A^2=I -> dihedral -> reducible; at n>=6 no finite-order spectrum of the forced shape)
84	B120_tower_determination	FINDINGS.md S3+S5 section (correcting a prior handoff's absence claim)	LEAD	CONSISTENT	self-correction (closed form exists once h=n counted; W4-017r/W5-017r use it)	and its 'no closed form' claim is wrong — a closed form does exist, once the h=n height is counted
85	B122_W_symmetric_powers	FINDINGS.md, 'Not a wall-bypass' section	LEAD	CONSISTENT	B126/B129 restate the functorial wall	No functorial `Sym(W)→trace-ring` map was found
86	B123_arithmeticity_m1	FINDINGS.md sec 'Status / honest scope', and probe.py docstring	LEAD	SUPERSEDED	as #87: W3-067 / B590 / B123 later compute invariant trace fields (a classifier in effect)	the repo has no trace-field classifier
87	B126_ladder_to_physics	probe.py docstring / FINDINGS.md sec 'Floor 1'	LEAD	SUPERSEDED	a trace-field classifier was later built: B771 cell W3-067 recovers invariant trace fields from scratch (b++ bundles), B590 s031_m3_sealing.py, B123 probe	the repo has no trace-field classifier
88	B135_lee_yang_m_specific	FINDINGS.md D3	LEAD	NOISE	speculation restates	NOT a full RCFT identification (no torus partition-function / character match; the framework's object is the hyperbolic, non-unitary complex-CS quantization, related to M(2,5) via the quantum dimension/fusion, not a proven RCFT equality)
90	B138_s031_principal_lemma	frontier/B138_s031_principal_lemma/FINDINGS.md:5	LEAD	NOISE		the merged B124–B137 untouched
91	B139_firewall_cartography	frontier/B139_firewall_cartography/FINDINGS.md:36	LEAD	NOISE	later arcs restate the same non-proof	NOT a proof that no invariant distinguishes a chiral bundle from its mirror
92	B139_firewall_cartography	frontier/B139_firewall_cartography/FINDINGS.md:52	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Registered in `../../docs/OPEN_LEADS.md` (tag **B139-G**); unrun.
93	B140_compute_reconciliation	frontier/B140_compute_reconciliation/FINDINGS.md:18	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the genus-2 illustration (twister) and the trace-field computation both need modules/Sage absent here
95	B141_s031_split	frontier/B141_s031_split/FINDINGS.md:53	LEAD	NOISE		Rigorous path is symbolic elimination of the phi-fixed system (the same target as the SL(4) elimination route)
96	B142_klein4_and_magic_cartography	frontier/B142_klein4_and_magic_cartography/FINDINGS.md:20	LEAD	CONSISTENT	still conjecture in later arcs (B775 P2W3-S031A cell attacks it, no closure)	The full SL(3) φ-fixed locus (all eigenvalue strata) stays CONJECTURE
97	B142_klein4_and_magic_cartography	frontier/B142_klein4_and_magic_cartography/probe.py:187	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Solving it fully is a separate tool-gated thread (MB10/S033)
98	B143_interaction_feasibility	frontier/B143_interaction_feasibility/FINDINGS.md:27	LEAD	NOISE		the '588 irreducible reps' count is not reproducible without the source method
99	B143_interaction_feasibility	frontier/B143_interaction_feasibility/FINDINGS.md:24	LEAD	STANDS	Regina still not importable on this bench (ModuleNotFoundError)	Regina is not installed.
100	B143_interaction_feasibility	frontier/B143_interaction_feasibility/FINDINGS.md:25	LEAD	NOISE		whether the two-seed interaction *has* such a realization is itself a construction question (open)
102	B145_forced_chirality	frontier/B145_forced_chirality/FINDINGS.md:43	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	not a theorem that *every* conceivable canonicity principle forces amphichirality
104	B148_kappa_fricke_metallic	frontier/B148_kappa_fricke_metallic/FINDINGS.md:19	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The dimensional argument is strong but is formally *an absence*, not a cited no-go theorem; its decisive primary-source confirmation is the OPEN reading task §4.B.
106	B149_sl4_ideal_completeness	frontier/B149_sl4_ideal_completeness/FINDINGS.md:4	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the H1 handoff's 'numerically-coaxed artifact' premise does not apply
107	B153_degree_rank_degeneration	frontier/B153_degree_rank_degeneration/FINDINGS.md line 47	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the earlier 'numerical' slice-piece tangent 14 was wrong (exact value 10)
108	B153_degree_rank_degeneration	frontier/B153_degree_rank_degeneration/FINDINGS.md line 74	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The old '0/120, no irreducibles' was simply wrong (it missed the non-ss irreducibles).
109	B156_omega_strict_full_cone	frontier/B156_omega_strict_full_cone/FINDINGS.md lines 104-107 (Scope section: 'the stronger reading ... is false as a mechanism')	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the two strict-full shears A=S03 and C=S23 commute ... so the map R->A, L->C cannot faithfully represent the noncommutative trace-map monodromy
111	B156_omega_strict_full_cone	frontier/B156_omega_strict_full_cone/FINDINGS.md line 157	LEAD	CONSISTENT	THE_SELECTION_RULES restates the depth-7 relation	U/V free semigroup | REFUTED | Relation appears at depth 7.
112	B157_metallic_exponent	FINDINGS.md line ~39	LEAD	NOISE	registry	o=5,6 admit no irreducible SL(3) bundle reps (random Newton, 300–400 seeds) — inadmissible at SL(3)
113	B157_metallic_exponent	FINDINGS.md CORRECTION 2026-06-23, contradicting its own earlier NEEDS-SPECIALIST claim of unreachability	LEAD	CONSISTENT	B198 is the correction that notes Sage installed	"""needs a real CAS (Singular/Macaulay2/Sage)"" ... Sage is installed in-environment"
114	B162_kappa_sweep	FINDINGS.md 'Honest scope' section	LEAD	STANDS	B186 adds numerical hyperbolicity certification, not a theorem off-axis	there is no ground-truth theorem off the real axis (the Damanik–Gorodetski horseshoe covers only the Hermitian kappa>2 regime)
116	B163_kappa_sweep_resolved	FINDINGS.md Result (3a) closing sentence	LEAD	STANDS	as #114	there is no ground-truth spectral theorem off the real axis (Damanik-Gorodetski's horseshoe covers only the Hermitian kappa>2 regime)
117	B163_kappa_sweep_resolved	FINDINGS.md 'Verify-don't-trust record (two diagnostics that FAILED)'	LEAD	NOISE		eps-component-count at a fixed fraction of the diameter: the known-Cantor control was FLAT ([4,4,4]) -- the bands merge at that scale, so it does not track disconnectedness
118	B165_kappa_cantor_offaxis	FINDINGS.md 'The conditional theorem' paragraph	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	no off-axis ground truth, and the transfer matrices are non-normal (spectral abscissa != top eigenvalue), so the Hermitian-kappa>2 methods (Damanik-Gorodetski) do not carry
119	B165_kappa_cantor_offaxis	FINDINGS.md 'two diagnostics that FAILED'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	eps-component-count at a fixed fraction of the diameter: the known-Cantor control was FLAT ([4,4,4]) -- the bands merge at that scale, so it does not track disconnectedness
121	B167_conserved_no_scale_lemma	FINDINGS.md 'The door-map' table, row 3	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"no such parameter is present"" (VEV/spontaneous breaking, door 3: 'blocked / hand-input -- no such parameter is present')"
123	B171_heterogeneous_quasicrystal	FINDINGS.md 'Scope / honesty' section	LEAD	NOISE		This is NOT ... establish[ing] a rank-3 combination gap (that is Phase 1) and does NOT refute one (the 0.611 gap is real)
125	B193_sealing_field_scouts		LEAD	NOISE	triage table	"""L5/L6 -- non-metallic SL(3) sealing: SCOPED NEEDS-SPECIALIST"" ... ""deliberately not rushed here"" (frontier/B193_sealing_field_scouts/FINDINGS.md:31-36)"
126	B196_entropy_conformal_dimension		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""The precise PVI channel placement (is this the time-monodromy weight or the fiber s-channel in the OPT->(0,4) dictionary?) is the one open detail -- NEEDS-SPECIALIST"" (frontier/B196_entropy_conformal_dimension/FINDINGS.md:36-37)"
127	B197_figure_eight_volume_torsionfree		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""the m003 same-volume manifold exists; the tie is broken only by the (motivated) torsion-free condition"" -- i.e. among ALL once-punctured-torus bundles no independent overdetermination exists (frontier/B197_figure_eight_volume_torsionfree/FINDINGS.md:60-61)"
128	B197_figure_eight_volume_torsionfree		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""[SnapPy unavailable -- C1/C3/C4 skipped; recorded: b++LR=4_1 vol 2.0298832128 ...]"" (frontier/B197_figure_eight_volume_torsionfree/volume_selection.py:109-111)"
129	B198_metallic_exponent_CAS		LEAD	CONSISTENT	B199 records the same non-closure	"""The exact symbolic proof over Q(zeta5) (primary decomposition, 25 vars) is not done -- see the residual. This is not [proved]."" (frontier/B198_metallic_exponent_CAS/FINDINGS.md:44-45)"
131	B198_metallic_exponent_CAS		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""'Newton fails at SL(4)/SL(5).' -- ... The mark was written without checking"" describing the original B157 wall as a tooling artifact rather than a genuine mathematical obstruction (frontier/B198_metallic_exponent_CAS/FINDINGS.md:19-27)"
132	B199_metallic_exponent_law		LEAD	CONSISTENT	SYNTHESIS restates	"""No route completed an exact proof"" (frontier/B199_metallic_exponent_law/FINDINGS.md:71)"
133	B199_metallic_exponent_law		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""the first degrevlex Groebner basis at 25 variables ... does not terminate within 600s, over Q(zeta5) or F_p"" (frontier/B199_metallic_exponent_law/FINDINGS.md:76-78)"
