arc	source	where	terms	status	hits_per_head	top_paths	quote
B16_record_swap_status	main	frontier/B16_record_swap_status/FINDINGS.md:63	a1-a6 exchange symmetry itself	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":7,""claude/outside-bench"":8,""claude/physics-seat-evaluation-8dkbrl"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":5}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/README.md	exchange symmetry itself is not derived from A1-A6.
B19_exchange_half_step_axiom_audit	main	frontier/B19_exchange_half_step_axiom_audit/FINDINGS.md:33	a1-a6 condition itself	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":13,""claude/outside-bench"":11,""claude/physics-seat-evaluation-8dkbrl"":11,""codex/seat-r001"":9,""main"":11,""paper/structure-genesis-first"":8}"	PROGRESS_LOG.md | docs/TRACE_SELECTOR_THEOREM.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B16_record_swap_status/FINDINGS.md	but this condition itself is not derived from A1-A6.
B21_spacetime_wp_dictionary	main	frontier/B21_spacetime_wp_dictionary/FINDINGS.md:12	einstein equation metric causal	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":10,""claude/outside-bench"":13,""claude/physics-seat-evaluation-8dkbrl"":13,""codex/seat-r001"":13,""main"":13,""paper/structure-genesis-first"":10}"	AUDIT_REPORT.md | CHANGELOG.md | GOVERNANCE.md | PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md	No physical metric, units, causal cone, or Einstein equation is derived.
B23_bkl_gravity_controls	main	frontier/B23_bkl_gravity_controls/FINDINGS.md:16	dictionary variables misner kasner	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":1,""main"":2,""paper/structure-genesis-first"":1}"	docs/progress/PROGRESS_2026-Q2.md | docs/COSMOLOGY_LEDGER.md	No explicit dictionary from `(u,v,w)` to Misner variables `(beta_+, beta_-,Omega)` or to Kasner/BKL variables is derived here.
B24_anyon_quantum_bridge	main	frontier/B24_anyon_quantum_bridge/README.md:19	mapping	UNSWEEPABLE			no derived rule mapping that `5` to `k+2`.
B24_anyon_quantum_bridge	main	frontier/B24_anyon_quantum_bridge/FINDINGS.md:16	shift	UNSWEEPABLE			the shift from `5` to `k+2` is not derived.
B25_fibonacci_spectrum_anchor	main	frontier/B25_fibonacci_spectrum_anchor/FINDINGS.md:22	a1-a6 coupling exchange symmetry	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":8,""claude/physics-seat-evaluation-8dkbrl"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":5}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/README.md	coupling is not derived from A1-A6 plus exchange symmetry.
B27_sl3_fibonacci_trace_lift	main	frontier/B27_sl3_fibonacci_trace_lift/FINDINGS.md:64-65	antiparticle dictionary particle language	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | frontier/README.md | papers/candidates/PC11_trace_map_spectrum_bridge/PAPER_CARD.md	it does not derive a physical dictionary. Particle/antiparticle language is not promoted.
B29_hierarchy_normalization_controls	main	frontier/B29_hierarchy_normalization_controls/FINDINGS.md:42	spectrum	UNSWEEPABLE			it does not derive a physical spectrum.
B52_multichannel_fibonacci_bridge_control	main	B52 LITERATURE.md, Conclusion section	three-channel tight-binding trace-map pc12	LEAD	"{""audit/b775-braver-questions"":13,""claude/new-session-qor5up"":12,""claude/outside-bench"":14,""claude/physics-seat-evaluation-8dkbrl"":14,""codex/seat-r001"":12,""main"":14,""paper/structure-genesis-first"":12}"	CHANGELOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	I found no source in this scan where a three-channel Fibonacci tight-binding model yields an SL(3) transfer matrix whose trace-map renormalization is the PC12 T_m.
B58_phaseA	main	B58_phaseA/B62_STATUS.md:16	power-assignment heights	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	frontier/B58_phaseA/B62_STATUS.md | frontier/B62_opposition_involution/FINDINGS.md | frontier/B62_opposition_involution/README.md | papers/VALIDATION_LEDGER.md	the power-assignment at heights other than 2 is not derived here.
B58_phaseA	main	B58_phaseA/B62_STATUS.md:37		UNSWEEPABLE			There is no explicit f(n,d) in B62 for d≠2
B58_phaseA	main	B58_phaseA/FINDINGS.md:91	symbolic proof	LEAD	"{""audit/b775-braver-questions"":331,""claude/new-session-qor5up"":341,""claude/outside-bench"":374,""claude/physics-seat-evaluation-8dkbrl"":362,""codex/seat-r001"":346,""main"":362,""paper/structure-genesis-first"":327}"	CHANGELOG.md | CLAIMS.md | PROGRESS_LOG.md | REPRODUCIBILITY.md | ROADMAP.md | DELETED:docs/REVIEWS.md	not a symbolic proof.
B58_phaseA	main	B58_phaseA/NILPOTENT_LIMIT_TEST.md:22	single-block description prettier picture	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B58_phaseA/NILPOTENT_LIMIT_TEST.md | papers/VALIDATION_LEDGER.md	So the picture is a prettier description of the single-block part, not a proof across the barrier
B58_phaseA	main	B58_phaseA/SYM_DECOMPOSITION.md:184	non-kostant different object revive	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	frontier/B58_phaseA/SYM_DECOMPOSITION.md	construction is a different, non-Kostant object that is not derived; it does not revive the
B58_sl4_tower_test	main	B58_sl4_tower_test/FINDINGS.md, 'Verdict' section	trace-map ambient built	LEAD	"{""audit/b775-braver-questions"":32,""claude/new-session-qor5up"":33,""claude/outside-bench"":33,""claude/physics-seat-evaluation-8dkbrl"":33,""codex/seat-r001"":35,""main"":33,""paper/structure-genesis-first"":33}"	CHANGELOG.md | PROGRESS_LOG.md | docs/HINT_LEDGER.md | docs/atlas/FAILURE_ATLAS.md | docs/progress/PROGRESS_2026-Q2.md	the ambient SL(4,C) trace-map construction, which is not built here.
B58_sl4_tower_test	main	B58_sl4_tower_test/README.md, 'Why The Prediction Is Not Tested Here'	trace-identity substantial built	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B58_sl4_tower_test/FINDINGS.md | frontier/B58_sl4_tower_test/README.md	That construction is not built here (it is a substantial trace-identity computation).
B60_sln_tower	main	frontier/B60_sln_tower/FINDINGS.md line 9 (and README.md line 45)	precision double cond	LEAD	"{""audit/b775-braver-questions"":190,""claude/new-session-qor5up"":169,""claude/outside-bench"":201,""claude/physics-seat-evaluation-8dkbrl"":198,""codex/seat-r001"":188,""main"":198,""paper/structure-genesis-first"":180}"	CHANGELOG.md | CLAIMS.md | PROGRESS_LOG.md | docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | DELETED:docs/REVIEWS.md	SL(5) (24-dim) does not resolve at double precision: cond(Dx) ~ 1e11.
B68_aj_conjecture	main	frontier/B68_aj_conjecture/exact_recursion.py lines 18-19	recursion identity exact newly	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":11,""claude/outside-bench"":15,""claude/physics-seat-evaluation-8dkbrl"":14,""codex/seat-r001"":12,""main"":14,""paper/structure-genesis-first"":10}"	CHANGELOG.md | PROGRESS_LOG.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json	the exact recursion|_{q=1}=A identity is NOT newly established here
B68_aj_conjecture	main	frontier/B68_aj_conjecture/FINDINGS_E.md line 40	garoufalidis-le figure-eight a-polynomial re-derived	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	the exact figure-eight quantum A-polynomial recursion |_{q=1} = A identity remains a literature theorem (Garoufalidis-Le), not re-derived in-house
B68_aj_conjecture	main	frontier/B68_aj_conjecture/probe.py lines 21-26	ill-conditioned figure-eight rec-degree q-deformed	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	the exact identity 'recursion|_{q=1} = A' is a proven theorem for the figure-eight (Le; Garoufalidis), but A has only even M-powers => the quantum convention is M_rec = q^N = (meridian)^2, and rewriting A there gives L-degree 2 / M_rec-degree 4. Extracting the exact q=1 limit needs the exact q-deformed recursion... near q=1 the numeric nullspace is ill-conditioned
B69_metallic_apoly_family	main	frontier/B69_metallic_apoly_family/FINDINGS.md lines 51-54	metallic-family hoste-shanahan a-polynomial twist-knot	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	Novelty: NOT established... Whether the metallic-family packaging is new vs implicit in twist-knot A-polynomial work (Hoste-Shanahan) needs a literature check before any novelty claim.
B69_metallic_apoly_family	main	frontier/B69_metallic_apoly_family/FINDINGS.md line 37	referenced metallic handoff flagged	LEAD	"{""audit/b775-braver-questions"":16,""claude/new-session-qor5up"":16,""claude/outside-bench"":16,""claude/physics-seat-evaluation-8dkbrl"":16,""codex/seat-r001"":16,""main"":16,""paper/structure-genesis-first"":15}"	CHANGELOG.md | PROGRESS_LOG.md | docs/RECONTEXT_AUDIT_AND_MASTERPLAN_2026-07.md | docs/progress/PROGRESS_2026-Q2.md | docs/progress/REVIEWS.md	metallic_family.py -- referenced by the handoff but absent from the bundle (flagged).
B70_trace_ring	main	frontier/B70_trace_ring/FINDINGS.md:67	two-index optimistic generator genuinely	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	docs/progress/PROGRESS_2026-Q2.md | papers/VALIDATION_LEDGER.md	"The optimistic ""one generator closes it"" is refuted (the content is genuinely two-index past (1,1))"
B70_trace_ring	main	frontier/B70_trace_ring/FINDINGS.md:80	computer-assisted characterization structural untouched	LEAD	"{""audit/b775-braver-questions"":11,""claude/new-session-qor5up"":11,""claude/outside-bench"":11,""claude/physics-seat-evaluation-8dkbrl"":11,""codex/seat-r001"":11,""main"":11,""paper/structure-genesis-first"":11}"	CHANGELOG.md | PROGRESS_LOG.md | docs/LAW_MAP.md | docs/progress/PROGRESS_2026-Q2.md | frontier/B154_silver_bundle_foundation/FINDINGS.md	labeled computer-assisted structural characterization, not PROVEN. Proven core untouched.
B71_sl3_apoly	main	frontier/B71_sl3_apoly/FINDINGS.md:44	internet needed magma sage	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	No Magma/Sage/internet needed.
B71_sl3_apoly	main	frontier/B71_sl3_apoly/FINDINGS.md:125	a-variety polynomials eliminated groebner	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":0,""main"":1,""paper/structure-genesis-first"":0}"	docs/views/VERDICT_LEDGER.md	No clean closed A-variety form exists ... their eliminated Groebner basis is 141 polynomials
B71_sl3_apoly	main	frontier/B71_sl3_apoly/v0_geometric.py:70-71	a-variety geometric monomial relation	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":8,""claude/outside-bench"":8,""claude/physics-seat-evaluation-8dkbrl"":8,""codex/seat-r001"":8,""main"":8,""paper/structure-genesis-first"":8}"	CHANGELOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B199_metallic_exponent_law/workflow_result.json | frontier/B201_silver_sl3_charvar/FINDINGS.md	=> NO clean monomial relation is constant on V0; the geometric A-variety is a large ideal (no tidy form)
B73_sl4_apoly	main	frontier/B73_sl4_apoly/probe.py:21-23	root-of-unity fixed-locus a-spectra numerical	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	a direct numerical fixed-locus search for SL(4) bundle reps at candidate root-of-unity A-spectra ... found NONE
B73_sl4_apoly	main	frontier/B73_sl4_apoly/probe.py:20	trace	UNSWEEPABLE			the SL(4) trace map (B48 is SL(3) only)
B73_sl4_apoly	main	frontier/B73_sl4_apoly/probe.py:23-24	degree-4 hypotheses untested recorded	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":8,""claude/outside-bench"":8,""claude/physics-seat-evaluation-8dkbrl"":8,""codex/seat-r001"":7,""main"":8,""paper/structure-genesis-first"":8}"	CHANGELOG.md | PROGRESS_LOG.md | docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json	so the degree-4 / j=1728 hypotheses are UNTESTED here; recorded as open, not claimed
B74_higher_spin_grading	main	frontier/B74_higher_spin_grading/FINDINGS.md:68-69	higher-spin eigenvalues metallic spectrum	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":7,""claude/outside-bench"":10,""claude/physics-seat-evaluation-8dkbrl"":10,""codex/seat-r001"":8,""main"":10,""paper/structure-genesis-first"":7}"	docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/README.md | frontier/REPO_STATE.md	There is NO computation making the metallic eigenvalues L_k a W_N CFT / higher-spin mode spectrum
B74_higher_spin_grading	main	frontier/B74_higher_spin_grading/FINDINGS.md:69	strictly dickson richer object	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":7,""claude/outside-bench"":6,""claude/physics-seat-evaluation-8dkbrl"":6,""codex/seat-r001"":6,""main"":6,""paper/structure-genesis-first"":6}"	CHANGELOG.md | PROGRESS_LOG.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/README.md	the full Dickson tower is a strictly richer object than the W_N spin list
B74_higher_spin_grading	main	frontier/B74_higher_spin_grading/FINDINGS.md:26	spin-1	UNSWEEPABLE			W_N (sl, not gl) has no spin-1
B75_metallic_degree_rank	main	frontier/B75_metallic_degree_rank/FINDINGS.md:50-51	dehn-filling finite-order product-1 component	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	frontier/B78_degree_rank_n5/probe.py | frontier/B88_sl4_census/FINDINGS.md | frontier/B88_sl4_census/probe.py | papers/VALIDATION_LEDGER.md	no clean Dehn-filling component found at n=3 across a broad sweep of 61 product-1 finite-order spectra
B75_metallic_degree_rank	main	frontier/B75_metallic_degree_rank/FINDINGS.md:57-58	n-axis discriminator metallic already	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":3,""claude/physics-seat-evaluation-8dkbrl"":3,""codex/seat-r001"":3,""main"":3,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md | CHANGELOG.md | docs/views/VERDICT_LEDGER.md	the metallic m≠1 test at n=4 ... is OPEN. The n-axis discriminator is already covered at m=1
B76_cusp_quantum_group	main	frontier/B76_cusp_quantum_group/FINDINGS.md:36	metallic-anyon category unitary fusion	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	frontier/physics_probes/METALLIC_ANYON_FINDINGS.md | frontier/physics_probes/metallic_anyon_probe.py | papers/VALIDATION_LEDGER.md | speculations/S030_yang_lee_two_categorifications.md	For m≥2 there is no unitary fusion category — no metallic-anyon / MTC family.
B76_cusp_quantum_group	main	frontier/B76_cusp_quantum_group/FINDINGS.md:43-45	speculative-analogy metallic-bundle categorical realization	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	NO categorical lift (SPECULATIVE-ANALOGY). There is no MTC/TQFT realization of the metallic family (V28): no functor from the metallic-bundle cusps to a modular tensor category for m≥2.
B77_degree_rank_mechanism	main	frontier/B77_degree_rank_mechanism/FINDINGS.md:29-31	continuously eigenvalues component meridian	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":9,""claude/outside-bench"":10,""claude/physics-seat-evaluation-8dkbrl"":10,""codex/seat-r001"":10,""main"":10,""paper/structure-genesis-first"":10}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/batch_dead_01.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	The meridian eigenvalues eig(mu)=eig(t) ... are generic and vary continuously across the component ... not roots of unity, not metallic, and not the fixed Dickson char(M^n) roots
B78_degree_rank_n5	main	frontier/B78_degree_rank_n5/FINDINGS.md:29-30	dehn-filling irreducible numerically principal	LEAD	"{""audit/b775-braver-questions"":21,""claude/new-session-qor5up"":21,""claude/outside-bench"":24,""claude/physics-seat-evaluation-8dkbrl"":24,""codex/seat-r001"":24,""main"":24,""paper/structure-genesis-first"":21}"	CHANGELOG.md | PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B153_degree_rank_degeneration/FINDINGS.md	the irreducible principal Dehn-filling rep is not numerically locatable this way
B78_degree_rank_n5	main	frontier/B78_degree_rank_n5/FINDINGS.md:33	confirmed decisive refuted third	LEAD	"{""audit/b775-braver-questions"":50,""claude/new-session-qor5up"":41,""claude/outside-bench"":65,""claude/physics-seat-evaluation-8dkbrl"":61,""codex/seat-r001"":51,""main"":61,""paper/structure-genesis-first"":46}"	CHANGELOG.md | PROGRESS_LOG.md | docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | DELETED:docs/REVIEWS.md | DELETED:docs/PROGRESS_LOG.md	The decisive n=5 third point is OPEN — neither confirmed nor refuted.
B79_mn_table	main	frontier/B79_mn_table/FINDINGS.md:22-26	dehn-filling even-order odd-order numerically	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	no clean Dehn-filling component for the m=2 bundle at n=3 — over odd-order spectra ... a broad 61-spectrum sweep ... and a fresh 63-spectrum even-order sweep ... the component itself is not numerically locatable
B79_mn_table	main	frontier/B79_mn_table/FINDINGS.md:28-29	dehn-filling spectra located	LEAD	"{""audit/b775-braver-questions"":27,""claude/new-session-qor5up"":23,""claude/outside-bench"":26,""claude/physics-seat-evaluation-8dkbrl"":26,""codex/seat-r001"":24,""main"":26,""paper/structure-genesis-first"":23}"	CHANGELOG.md | PROGRESS_LOG.md | docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/NOVELTY_AUDIT.md | DELETED:docs/PROGRESS_LOG.md	the phi_m^2 n=4 Dehn-filling spectra ... were not located
B80_sl4_adproof	main	frontier/B80_sl4_adproof/FINDINGS.md:24-25	symbolic-m eps-series pinv-limit stalled	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":6,""claude/outside-bench"":7,""claude/physics-seat-evaluation-8dkbrl"":7,""codex/seat-r001"":6,""main"":7,""paper/structure-genesis-first"":6}"	CHANGELOG.md | docs/progress/PROGRESS_2026-Q2.md | frontier/B70_trace_ring/symbolic_m_pinv.py | frontier/README.md | frontier/REPO_STATE.md	B70 tried the symbolic-m eps-series pinv-limit directly over Q[m] and stalled at SL(4) (L=12)
B81_sl5_adproof	main	frontier/B81_sl5_adproof/FINDINGS.md:26-27	m-interpolation well-defined pinv-limit characteristic	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""claude/physics-seat-evaluation-8dkbrl"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		the ε-series pinv-limit does not produce a well-defined characteristic polynomial — m-interpolation is invalid and the CRT reconstruction cannot be applied
B82_consolidation	main	frontier/B82_consolidation/FINDINGS.md:66	verdict	UNSWEEPABLE			Verdict: there is no physics here.
B82_consolidation	main	frontier/B82_consolidation/FINDINGS.md:68-69	physics-probing re-litigate genuinely evidence	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""claude/physics-seat-evaluation-8dkbrl"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		the physics-probing chapter is closed; future runs should not re-litigate these kills without genuinely new evidence
