arc	source	where	terms	status	hits_per_head	top_paths	quote
B16_record_swap_status	main	frontier/B16_record_swap_status/FINDINGS.md:63	a1-a6 exchange symmetry itself	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":7,""claude/outside-bench"":8,""claude/physics-seat-evaluation-8dkbrl"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":5}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/README.md	exchange symmetry itself is not derived from A1-A6.
B19_exchange_half_step_axiom_audit	main	frontier/B19_exchange_half_step_axiom_audit/FINDINGS.md:33	a1-a6 condition itself	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":13,""claude/outside-bench"":11,""claude/physics-seat-evaluation-8dkbrl"":11,""codex/seat-r001"":9,""main"":11,""paper/structure-genesis-first"":8}"	PROGRESS_LOG.md | docs/TRACE_SELECTOR_THEOREM.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B16_record_swap_status/FINDINGS.md	but this condition itself is not derived from A1-A6.
B21_spacetime_wp_dictionary	main	frontier/B21_spacetime_wp_dictionary/FINDINGS.md:12	einstein equation metric causal	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":10,""claude/outside-bench"":13,""claude/physics-seat-evaluation-8dkbrl"":13,""codex/seat-r001"":13,""main"":13,""paper/structure-genesis-first"":10}"	AUDIT_REPORT.md | CHANGELOG.md | GOVERNANCE.md | PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md	No physical metric, units, causal cone, or Einstein equation is derived.
B23_bkl_gravity_controls	main	frontier/B23_bkl_gravity_controls/FINDINGS.md:16	dictionary variables misner kasner	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":1,""main"":2,""paper/structure-genesis-first"":1}"	docs/progress/PROGRESS_2026-Q2.md | docs/COSMOLOGY_LEDGER.md	No explicit dictionary from `(u,v,w)` to Misner variables `(beta_+, beta_-,Omega)` or to Kasner/BKL variables is derived here.
B24_anyon_quantum_bridge	main	frontier/B24_anyon_quantum_bridge/README.md:19	mapping	UNSWEEPABLE			no derived rule mapping that `5` to `k+2`.
B24_anyon_quantum_bridge	main	frontier/B24_anyon_quantum_bridge/FINDINGS.md:16	shift	UNSWEEPABLE			the shift from `5` to `k+2` is not derived.
B25_fibonacci_spectrum_anchor	main	frontier/B25_fibonacci_spectrum_anchor/FINDINGS.md:22	a1-a6 coupling exchange symmetry	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":8,""claude/physics-seat-evaluation-8dkbrl"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":5}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/README.md	coupling is not derived from A1-A6 plus exchange symmetry.
B27_sl3_fibonacci_trace_lift	main	frontier/B27_sl3_fibonacci_trace_lift/FINDINGS.md:64-65	antiparticle dictionary particle language	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	PROGRESS_LOG.md | docs/progress/PROGRESS_2026-Q2.md | frontier/README.md | papers/candidates/PC11_trace_map_spectrum_bridge/PAPER_CARD.md	it does not derive a physical dictionary. Particle/antiparticle language is not promoted.
B29_hierarchy_normalization_controls	main	frontier/B29_hierarchy_normalization_controls/FINDINGS.md:42	spectrum	UNSWEEPABLE			it does not derive a physical spectrum.
B52_multichannel_fibonacci_bridge_control	main	B52 LITERATURE.md, Conclusion section	three-channel tight-binding trace-map pc12	LEAD	"{""audit/b775-braver-questions"":13,""claude/new-session-qor5up"":12,""claude/outside-bench"":14,""claude/physics-seat-evaluation-8dkbrl"":14,""codex/seat-r001"":12,""main"":14,""paper/structure-genesis-first"":12}"	CHANGELOG.md | docs/progress/PROGRESS_2026-Q2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	I found no source in this scan where a three-channel Fibonacci tight-binding model yields an SL(3) transfer matrix whose trace-map renormalization is the PC12 T_m.
B58_phaseA	main	B58_phaseA/B62_STATUS.md:16	power-assignment heights	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	frontier/B58_phaseA/B62_STATUS.md | frontier/B62_opposition_involution/FINDINGS.md | frontier/B62_opposition_involution/README.md | papers/VALIDATION_LEDGER.md	the power-assignment at heights other than 2 is not derived here.
B58_phaseA	main	B58_phaseA/B62_STATUS.md:37		UNSWEEPABLE			There is no explicit f(n,d) in B62 for d≠2
B58_phaseA	main	B58_phaseA/FINDINGS.md:91	symbolic proof	LEAD	"{""audit/b775-braver-questions"":331,""claude/new-session-qor5up"":341,""claude/outside-bench"":374,""claude/physics-seat-evaluation-8dkbrl"":362,""codex/seat-r001"":346,""main"":362,""paper/structure-genesis-first"":327}"	CHANGELOG.md | CLAIMS.md | PROGRESS_LOG.md | REPRODUCIBILITY.md | ROADMAP.md | DELETED:docs/REVIEWS.md	not a symbolic proof.
B58_phaseA	main	B58_phaseA/NILPOTENT_LIMIT_TEST.md:22	single-block description prettier picture	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B58_phaseA/NILPOTENT_LIMIT_TEST.md | papers/VALIDATION_LEDGER.md	So the picture is a prettier description of the single-block part, not a proof across the barrier
B58_phaseA	main	B58_phaseA/SYM_DECOMPOSITION.md:184	non-kostant different object revive	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	frontier/B58_phaseA/SYM_DECOMPOSITION.md	construction is a different, non-Kostant object that is not derived; it does not revive the
B58_sl4_tower_test	main	B58_sl4_tower_test/FINDINGS.md, 'Verdict' section	trace-map ambient built	LEAD	"{""audit/b775-braver-questions"":32,""claude/new-session-qor5up"":33,""claude/outside-bench"":33,""claude/physics-seat-evaluation-8dkbrl"":33,""codex/seat-r001"":35,""main"":33,""paper/structure-genesis-first"":33}"	CHANGELOG.md | PROGRESS_LOG.md | docs/HINT_LEDGER.md | docs/atlas/FAILURE_ATLAS.md | docs/progress/PROGRESS_2026-Q2.md	the ambient SL(4,C) trace-map construction, which is not built here.
B58_sl4_tower_test	main	B58_sl4_tower_test/README.md, 'Why The Prediction Is Not Tested Here'	trace-identity substantial built	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B58_sl4_tower_test/FINDINGS.md | frontier/B58_sl4_tower_test/README.md	That construction is not built here (it is a substantial trace-identity computation).
B60_sln_tower	main	frontier/B60_sln_tower/FINDINGS.md line 9 (and README.md line 45)	precision double cond	LEAD	"{""audit/b775-braver-questions"":190,""claude/new-session-qor5up"":169,""claude/outside-bench"":201,""claude/physics-seat-evaluation-8dkbrl"":198,""codex/seat-r001"":188,""main"":198,""paper/structure-genesis-first"":180}"	CHANGELOG.md | CLAIMS.md | PROGRESS_LOG.md | docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | DELETED:docs/REVIEWS.md	SL(5) (24-dim) does not resolve at double precision: cond(Dx) ~ 1e11.
B68_aj_conjecture	main	frontier/B68_aj_conjecture/exact_recursion.py lines 18-19	recursion identity exact newly	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":11,""claude/outside-bench"":15,""claude/physics-seat-evaluation-8dkbrl"":14,""codex/seat-r001"":12,""main"":14,""paper/structure-genesis-first"":10}"	CHANGELOG.md | PROGRESS_LOG.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json	the exact recursion|_{q=1}=A identity is NOT newly established here
B68_aj_conjecture	main	frontier/B68_aj_conjecture/FINDINGS_E.md line 40	garoufalidis-le figure-eight a-polynomial re-derived	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""claude/physics-seat-evaluation-8dkbrl"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	papers/VALIDATION_LEDGER.md	the exact figure-eight quantum A-polynomial recursion |_{q=1} = A identity remains a literature theorem (Garoufalidis-Le), not re-derived in-house
