idx	arc	where	terms	hits	top	quote
12	B27_sl3_fibonacci_trace_lift	FINDINGS.md:64-65	antiparticle dictionary particle language	main=4,all=28	PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; f/README.md ; papers/candidates/PC11_trace_map_spectrum_bridge/PAPER_CARD.md	it does not derive a physical dictionary. Particle/antiparticle language is not promoted.
13	B52_multichannel_fibonacci_bridge_control	B52 LITERATURE.md, Conclusion section	three-channel tight-binding trace-map pc12	main=14,all=91	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	I found no source in this scan where a three-channel Fibonacci tight-binding model yields an SL(3) transfer matrix whose trace-map renormalization is the PC12 T_m.
14	B58_phaseA	B62_STATUS.md:16	power-assignment heights	main=4,all=28	f/B58_phaseA/B62_STATUS.md ; f/B62_opposition_involution/FINDINGS.md ; f/B62_opposition_involution/README.md ; papers/VALIDATION_LEDGER.md	the power-assignment at heights other than 2 is not derived here.
15	B58_phaseA	FINDINGS.md:91	symbolic proof	main=362,all=2443	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; ROADMAP.md ; DEL:docs/REVIEWS.md	not a symbolic proof.
16	B58_phaseA	NILPOTENT_LIMIT_TEST.md:22	single-block description prettier picture	main=2,all=14	f/B58_phaseA/NILPOTENT_LIMIT_TEST.md ; papers/VALIDATION_LEDGER.md	So the picture is a prettier description of the single-block part, not a proof across the barrier
17	B58_phaseA	SYM_DECOMPOSITION.md:184	non-kostant different object revive	main=1,all=7	f/B58_phaseA/SYM_DECOMPOSITION.md	construction is a different, non-Kostant object that is not derived; it does not revive the
18	B58_sl4_tower_test	FINDINGS.md, 'Verdict' section	trace-map ambient built	main=33,all=232	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/atlas/FAILURE_ATLAS.md ; docs/progress/PROGRESS_2026-Q2.md	the ambient SL(4,C) trace-map construction, which is not built here.
19	B58_sl4_tower_test	README.md, 'Why The Prediction Is Not Te	trace-identity substantial built	main=2,all=14	f/B58_sl4_tower_test/FINDINGS.md ; f/B58_sl4_tower_test/README.md	That construction is not built here (it is a substantial trace-identity computation).
20	B60_sln_tower	FINDINGS.md line 9 (and README.md line 4	precision double cond	main=198,all=1324	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md	SL(5) (24-dim) does not resolve at double precision: cond(Dx) ~ 1e11.
21	B68_aj_conjecture	exact_recursion.py lines 18-19	recursion identity exact newly	main=14,all=86	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	the exact recursion|_{q=1}=A identity is NOT newly established here
22	B68_aj_conjecture	FINDINGS_E.md line 40	garoufalidis-le figure-eight a-polynomial re-derived	main=1,all=7	papers/VALIDATION_LEDGER.md	the exact figure-eight quantum A-polynomial recursion |_{q=1} = A identity remains a literature theorem (Garoufalidis-Le), not re-derived in-house
23	B68_aj_conjecture	probe.py lines 21-26	ill-conditioned figure-eight rec-degree q-deformed	main=1,all=7	papers/VALIDATION_LEDGER.md	the exact identity 'recursion|_{q=1} = A' is a proven theorem for the figure-eight (Le; Garoufalidis), but A has only even M-powers => the quantum convention is M_rec = q^N = (meridian)^2, and rewriti
24	B69_metallic_apoly_family	FINDINGS.md lines 51-54	metallic-family hoste-shanahan a-polynomial twist-knot	main=1,all=7	papers/VALIDATION_LEDGER.md	Novelty: NOT established... Whether the metallic-family packaging is new vs implicit in twist-knot A-polynomial work (Hoste-Shanahan) needs a literature check before any novelty claim.
25	B69_metallic_apoly_family	FINDINGS.md line 37	referenced metallic handoff flagged	main=16,all=111	CHANGELOG.md ; PROGRESS_LOG.md ; docs/RECONTEXT_AUDIT_AND_MASTERPLAN_2026-07.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/progress/REVIEWS.md	metallic_family.py -- referenced by the handoff but absent from the bundle (flagged).
26	B70_trace_ring	FINDINGS.md:67	two-index optimistic generator genuinely	main=2,all=14	docs/progress/PROGRESS_2026-Q2.md ; papers/VALIDATION_LEDGER.md	The optimistic "one generator closes it" is refuted (the content is genuinely two-index past (1,1))
27	B70_trace_ring	FINDINGS.md:80	computer-assisted characterization structural untouched	main=11,all=77	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B154_silver_bundle_foundation/FINDINGS.md	labeled computer-assisted structural characterization, not PROVEN. Proven core untouched.
28	B71_sl3_apoly	FINDINGS.md:44	internet needed magma sage	main=1,all=7	papers/VALIDATION_LEDGER.md	No Magma/Sage/internet needed.
29	B71_sl3_apoly	FINDINGS.md:125	a-variety polynomials eliminated groebner	main=1,all=3	docs/views/VERDICT_LEDGER.md	No clean closed A-variety form exists ... their eliminated Groebner basis is 141 polynomials
30	B71_sl3_apoly	v0_geometric.py:70-71	a-variety geometric monomial relation	main=8,all=56	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B199_metallic_exponent_law/workflow_result.json ; f/B201_silver_sl3_charvar/FINDINGS.md	=> NO clean monomial relation is constant on V0; the geometric A-variety is a large ideal (no tidy form)
31	B73_sl4_apoly	probe.py:21-23	root-of-unity fixed-locus a-spectra numerical	main=1,all=7	papers/VALIDATION_LEDGER.md	a direct numerical fixed-locus search for SL(4) bundle reps at candidate root-of-unity A-spectra ... found NONE
32	B73_sl4_apoly	probe.py:23-24	degree-4 hypotheses untested recorded	main=8,all=54	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json	so the degree-4 / j=1728 hypotheses are UNTESTED here; recorded as open, not claimed
33	B74_higher_spin_grading	FINDINGS.md:68-69	higher-spin eigenvalues metallic spectrum	main=10,all=59	docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/README.md ; f/REPO_STATE.md	There is NO computation making the metallic eigenvalues L_k a W_N CFT / higher-spin mode spectrum
34	B74_higher_spin_grading	FINDINGS.md:69	strictly dickson richer object	main=6,all=43	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md ; f/README.md	the full Dickson tower is a strictly richer object than the W_N spin list
35	B75_metallic_degree_rank	FINDINGS.md:50-51	dehn-filling finite-order product-1 component	main=4,all=28	f/B78_degree_rank_n5/probe.py ; f/B88_sl4_census/FINDINGS.md ; f/B88_sl4_census/probe.py ; papers/VALIDATION_LEDGER.md	no clean Dehn-filling component found at n=3 across a broad sweep of 61 product-1 finite-order spectra
36	B75_metallic_degree_rank	FINDINGS.md:57-58	n-axis discriminator metallic already	main=3,all=15	papers/VALIDATION_LEDGER.md ; CHANGELOG.md ; docs/views/VERDICT_LEDGER.md	the metallic m≠1 test at n=4 ... is OPEN. The n-axis discriminator is already covered at m=1
37	B76_cusp_quantum_group	FINDINGS.md:36	metallic-anyon category unitary fusion	main=4,all=28	f/physics_probes/METALLIC_ANYON_FINDINGS.md ; f/physics_probes/metallic_anyon_probe.py ; papers/VALIDATION_LEDGER.md ; speculations/S030_yang_lee_two_categorifications.md	For m≥2 there is no unitary fusion category — no metallic-anyon / MTC family.
38	B76_cusp_quantum_group	FINDINGS.md:43-45	speculative-analogy metallic-bundle categorical realization	main=1,all=7	papers/VALIDATION_LEDGER.md	NO categorical lift (SPECULATIVE-ANALOGY). There is no MTC/TQFT realization of the metallic family (V28): no functor from the metallic-bundle cusps to a modular tensor category for m≥2.
39	B77_degree_rank_mechanism	FINDINGS.md:29-31	continuously eigenvalues component meridian	main=10,all=69	PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/batch_dead_01.json ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	The meridian eigenvalues eig(mu)=eig(t) ... are generic and vary continuously across the component ... not roots of unity, not metallic, and not the fixed Dickson char(M^n) roots
40	B78_degree_rank_n5	FINDINGS.md:29-30	dehn-filling irreducible numerically principal	main=24,all=159	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B153_degree_rank_degeneration/FINDINGS.md	the irreducible principal Dehn-filling rep is not numerically locatable this way
41	B78_degree_rank_n5	FINDINGS.md:33	confirmed decisive refuted third	main=61,all=375	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	The decisive n=5 third point is OPEN — neither confirmed nor refuted.
42	B79_mn_table	FINDINGS.md:22-26	dehn-filling even-order odd-order numerically	main=1,all=7	papers/VALIDATION_LEDGER.md	no clean Dehn-filling component for the m=2 bundle at n=3 — over odd-order spectra ... a broad 61-spectrum sweep ... and a fresh 63-spectrum even-order sweep ... the component itself is not numericall
43	B79_mn_table	FINDINGS.md:28-29	dehn-filling spectra located	main=26,all=175	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/NOVELTY_AUDIT.md ; DEL:docs/PROGRESS_LOG.md	the phi_m^2 n=4 Dehn-filling spectra ... were not located
44	B80_sl4_adproof	FINDINGS.md:24-25	symbolic-m eps-series pinv-limit stalled	main=7,all=45	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B70_trace_ring/symbolic_m_pinv.py ; f/README.md ; f/REPO_STATE.md	B70 tried the symbolic-m eps-series pinv-limit directly over Q[m] and stalled at SL(4) (L=12)
45	B83_sln_apolynomial	FINDINGS.md:24	numerically principal component locatable	main=11,all=77	CHANGELOG.md ; docs/NOVELTY_AUDIT.md ; f/B78_degree_rank_n5/FINDINGS.md ; f/B78_degree_rank_n5/README.md ; f/B78_degree_rank_n5/probe.py	the principal SL(5) component is not numerically locatable (B78)
46	B83_sln_apolynomial	FINDINGS.md:41-42	principal component deferred equals	main=17,all=117	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md	The full derivation of why the principal component's slope equals the rank is deferred
47	B84_sl5_gauge_barrier	FINDINGS.md:35	seed-averaging pinv-limit gauge-fix numerical	main=2,all=14	f/B738_pathfinder_compiler/kill_graph.json ; papers/VALIDATION_LEDGER.md	No numerical gauge-fix, θ-split, or seed-averaging can recover the SL(5) tower from the pinv-limit.
48	B85_tower_lynchpin	FINDINGS.md:34-35	pinv-limit canonically numerical converge	main=7,all=47	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B84_sl5_gauge_barrier/probe.py	Numerical routes are DEAD (B84/V67): the ε-series pinv-limit does not converge canonically at the char(M^2)^2 sector
49	B85_tower_lynchpin	FINDINGS.md:51	representation numerical shortcut remains	main=23,all=145	CHANGELOG.md ; PROGRESS_LOG.md ; docs/atlas/FAILURE_ATLAS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/progress/REVIEWS.md	No numerical or representation shortcut remains
50	B86_unification_synthesis	FINDINGS.md:45	governance promotion outreach dormant	main=11,all=70	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md	no promotion to CLAIMS.md without the GOVERNANCE §5 gate; EXPERT_OUTREACH.md dormant
51	B87_m3_genus	FINDINGS.md line 56-58 (2026-07-09 adden	in-session available database ptolemy	main=3,all=16	docs/OPEN_LEADS.md ; f/B738_pathfinder_compiler/kill_graph.json ; CHANGELOG.md	the exact solve needs Magma (or the Ptolemy database), neither available in-session
52	B87_m3_genus	FINDINGS.md line 61-63	a-polynomial remains genuine genus	main=24,all=167	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md	The SL(2,ℂ) A-polynomial genus for m ≥ 2 remains a genuine open edge
53	B96_geometry_invariants	FINDINGS.md line 33-34	unavailable standalone requires adjoint	main=7,all=47	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	SnapPy's exact adjoint torsion requires Sage (unavailable standalone)
54	B96_geometry_invariants	FINDINGS.md line 34-35	from-scratch garoufalidis invariant calibrate	main=8,all=50	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/README.md	a from-scratch Dimofte–Garoufalidis 1-loop invariant did not calibrate to the known τ₁=−3, τ₂=−16 here, so it is not reported as a number
55	B98_geometric_jacobian	FINDINGS.md line 14-15	jacobian spectrum	main=162,all=1127	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md	We had never computed the Jacobian spectrum there.
56	B105_n5_wall_and_convergence	FINDINGS.md 'Conclusion (honest)' and RE	catalog open	main=202,all=1380	ARCHITECTURE.md ; CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; README.md ; DEL:docs/REVIEWS.md	the explicit n≥5 catalog is OPEN
57	B105_n5_wall_and_convergence	probe.py docstring CONVERGENCE section	thesis stage proof sets	main=56,all=350	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md	This stage SETS UP the thesis; it does NOT attempt that proof.
58	B105_n5_wall_and_convergence	FINDINGS.md Correction B	mathematical boundary	main=161,all=1095	ARCHITECTURE.md ; CHANGELOG.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; README.md ; DEL:docs/REVIEWS.md	There is NO mathematical boundary
59	B106_dehn_filling_anatomy	FINDINGS.md intro	degree third class lives	main=103,all=666	CHANGELOG.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; ROADMAP.md ; docs/CAMPAIGN_STATUS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	the third class, never computed, where degree=rank lives
60	B106_dehn_filling_anatomy	FINDINGS.md D3	rank-4 exhaustiveness symbolic spectra	main=6,all=40	docs/OPEN_LEADS.md ; f/B770_closure_census/census.json ; f/B775_phase2_wave1/cells/P2W6-B106/compute.py ; f/B775_phase2_wave1/wave6_results.json ; papers/VALIDATION_LEDGER.md	**Exhaustiveness** over *all* rank-4 spectra needs the symbolic `Fix(T₁²)` (the B71 route at rank 4) — **open**
61	B107_physics_connection_audit	B109 arc)	literature published specific relation	main=47,all=319	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/ERROR_LEDGER.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	the specific power relation `Mⁿ = L`... was not found stated in the published literature as of this search
62	B109_trace_map_dynamics	LITERATURE_L5.md Task 4	literature published specific relation	main=46,all=312	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/ERROR_LEDGER.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	the specific power relation `Mⁿ = L`... **was not found stated in the published literature** as of this search
63	B109_trace_map_dynamics	LITERATURE_L5.md Task 4	verify-don t-trust literature specialist	main=37,all=242	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/NOVELTY_AUDIT.md ; DEL:docs/REVIEWS.md	Verify-don't-trust caveat: a negative literature search is not a proof of novelty; flagged for a specialist read before any published novelty claim.
64	B110_off_locus_sector	FINDINGS.md 'the answer' section	figure-eight off-locus irreducible forced	main=19,all=122	CHANGELOG.md ; docs/atlas/FAILURE_ATLAS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/CLOSED_DOORS.md ; docs/views/VERDICT_LEDGER.md	there is no figure-eight SL(3) irreducible rep off the forced locus: the off-locus sector is **EMPTY for 4₁ at SL(3)**
65	B110_off_locus_sector	FINDINGS.md honest scope section	off-principal s011 multichannel manifolds	main=5,all=35	docs/progress/PROGRESS_2026-Q2.md ; f/README.md ; papers/VALIDATION_LEDGER.md ; speculations/S011_off_locus_sector.md ; speculations/S025_offprincipal_higher_rank.md	The broader S011 fork — off-principal **multichannel** content at **higher rank** or for **other manifolds** — is **not** settled here and stays **OPEN**
66	B115_higher_generality	FINDINGS.md #5	character-variety figure-eight heusener-mu oz-porti	main=5,all=36	PROGRESS_LOG.md ; f/B102_hitchin_continuation/probe.py ; f/B199_metallic_exponent_law/workflow_result.json ; f/B71_sl3_apoly/probe.py ; papers/VALIDATION_LEDGER.md	there is **no SL(4) figure-eight character-variety classification** (the SL(3) one is Heusener-Muñoz-Porti arXiv:1505.04451; no SL(4) analogue exists in the literature)
67	B115_higher_generality	FINDINGS.md #4	character-variety genus-2 needs	main=24,all=157	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	this needs a **genus-2 SL(n) character-variety construction not in the repo**
68	B117_interleaving	FINDINGS.md 'Path 4' section	gauge-corrupted consistency decisive check	main=8,all=52	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl ; f/B742_negatives_hunt_p1/stageA/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/v3_preassembly.json	n=6 is gauge-corrupted, so this is a consistency check, not a decisive test
69	B119_mk_scalar_mechanism	FINDINGS.md 'the brave k=n attempt' sect	dehn-filling finite-order irreducibly principal	main=12,all=81	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md	the principal Dehn-filling rep does **not exist irreducibly** (B95 — at n=5 the forced spectrum {1,1,1,-1,-1} has A^2=I -> dihedral -> reducible; at n>=6 no finite-order spectrum of the forced shape)
70	B120_tower_determination	FINDINGS.md S3+S5 section (correcting a 	counted closed height wrong	main=30,all=185	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	and its 'no closed form' claim is wrong — a closed form does exist, once the h=n height is counted
71	B122_W_symmetric_powers	FINDINGS.md, 'Not a wall-bypass' section	trace-ring functorial found	main=28,all=188	CHANGELOG.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; ROADMAP.md ; docs/OPEN_LEADS.md	No functorial `Sym(W)→trace-ring` map was found
72	B123_arithmeticity_m1	 honest scope', and probe.py docstring	trace-field classifier	main=23,all=153	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; docs/progress/PROGRESS_2026-Q2.md	the repo has no trace-field classifier
73	B126_ladder_to_physics	 FINDINGS.md sec 'Floor 1'	trace-field classifier	main=23,all=153	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; docs/progress/PROGRESS_2026-Q2.md	the repo has no trace-field classifier
74	B135_lee_yang_m_specific	FINDINGS.md D3	partition-function non-unitary complex-cs identification	main=2,all=14	papers/VALIDATION_LEDGER.md ; speculations/S030_yang_lee_two_categorifications.md	NOT a full RCFT identification (no torus partition-function / character match; the framework's object is the hyperbolic, non-unitary complex-CS quantization, related to M(2,5) via the quantum dimensio
75	B138_s031_principal_lemma	FINDINGS.md:32	evidence sealing	main=68,all=458	CHANGELOG.md ; CLAIMS.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; DEL:docs/REVIEWS.md	SL(4) sealing evidence was **not obtained**.
76	B138_s031_principal_lemma	FINDINGS.md:5	b124 b137 untouched merged	main=6,all=43	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B137_s031_sealing_m2/FINDINGS.md ; f/B738_pathfinder_compiler/kill_graph.json	the merged B124–B137 untouched
77	B139_firewall_cartography	FINDINGS.md:36	distinguishes invariant chiral bundle	main=25,all=175	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_PROBLEMS.md ; docs/PRACTICES.md	NOT a proof that no invariant distinguishes a chiral bundle from its mirror
78	B139_firewall_cartography	FINDINGS.md:52	b139-g registered leads unrun	main=7,all=49	docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl ; f/B742_negatives_hunt_p1/stageA/kill_graph.json	Registered in `../../docs/OPEN_LEADS.md` (tag **B139-G**); unrun.
79	B140_compute_reconciliation	FINDINGS.md:18	trace-field genus-2 illustration twister	main=5,all=34	f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl ; f/B742_negatives_hunt_p1/stageA/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/v3_preassembly.json ; papers/VALIDATION_LEDGER.md ; docs/views/VERDICT_LEDG	the genus-2 illustration (twister) and the trace-field computation both need modules/Sage absent here
80	B140_compute_reconciliation	FINDINGS.md:71	in-sandbox recorded trace field	main=106,all=709	CHANGELOG.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; TERMINOLOGY.md ; docs/AUDIT_2026-07-05.md ; DEL:docs/PROGRESS_LOG.md	In-sandbox `trace_field_gens` needs Sage; recorded from the prior banks.
81	B141_s031_split	FINDINGS.md:53	phi-fixed elimination rigorous symbolic	main=7,all=48	CHANGELOG.md ; PROGRESS_LOG.md ; f/B142_klein4_and_magic_cartography/probe.py ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	Rigorous path is symbolic elimination of the phi-fixed system (the same target as the SL(4) elimination route)
82	B142_klein4_and_magic_cartography	FINDINGS.md:20	eigenvalue conjecture strata fixed	main=31,all=200	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md	The full SL(3) φ-fixed locus (all eigenvalue strata) stays CONJECTURE
83	B142_klein4_and_magic_cartography	probe.py:187	tool-gated mb10 s033 separate	main=4,all=28	docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B770_closure_census/census.json ; papers/VALIDATION_LEDGER.md	Solving it fully is a separate tool-gated thread (MB10/S033)
84	B143_interaction_feasibility	FINDINGS.md:27	reproducible irreducible source method	main=27,all=186	CHANGELOG.md ; PROGRESS_LOG.md ; README.md ; REPRODUCIBILITY.md ; ROADMAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	the '588 irreducible reps' count is not reproducible without the source method
85	B143_interaction_feasibility	FINDINGS.md:24	installed regina	main=5,all=36	docs/STRATEGIC_SYNTHESIS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B770_closure_census/census.json ; papers/VALIDATION_LEDGER.md	Regina is not installed.
