arc	source	kind	reproducible_from_committed	what	where	why
B82_consolidation	main	IMPORTED	no	synthesis table of 5 physics-bridge probes (anyons/TQC, quasicrystal spectra, j=1728/Seiberg-Witten, higher-spin/W_N, cusp-torsion/quantum group), all verdict negative or same-structure-coincidence	FINDINGS.md:53-69	"this is a synthesis/positioning arc explicitly stating ""no new theorem""; it aggregates conclusions from B28/B29/B34/B37/B53/B56/B58 etc. rather than computing anything itself"
B83_sln_apolynomial	main	COMPUTED	unknown	A_n family L=(-1)^{n-1}M^n confirmed at n=3 (~1e-10) and n=4 (~1e-12, new)	FINDINGS.md table lines 20-24	probe.py not directly opened this pass
B83_sln_apolynomial	main	ASSERTED	no	n=5 prediction L=+M^5 is UNTESTED (principal component not locatable, per B78)	FINDINGS.md:24	explicitly a prediction, not a computed result
B84_sl5_gauge_barrier	main	COMPUTED	unknown	seed-averaging over 40 seeds fails to converge char(DT_0(5,m=1)); gauge-invariant power sums tr(DT_0^k) also scatter across seeds at SL(5) but not SL(4)	FINDINGS.md:16-26	probe.py not directly opened this pass; exact F_p claimed
B85_tower_lynchpin	main	COMPUTED	unknown	Lambda^2 functoriality of the figure-eight substitution verified to ~1e-14	FINDINGS.md:18-24	probe.py not directly opened this pass
B85_tower_lynchpin	main	ASSERTED	no	char(M^2) multiplicity (1 at n=3,4; 2 at n=5,6) is a root-system fact, not a representation artifact	FINDINGS.md:26-30	stated as a structural/root-system argument rather than a direct numeric computation in the excerpt read
B86_unification_synthesis	main	ASSERTED	no	novelty positioning table: A_n family / SL(4) L=-M^4 labeled APPARENTLY_NEW pending literature check; SL(2)/SL(3) results labeled KNOWN	FINDINGS.md:24-36	"an internal (""no external contact"") novelty self-assessment, explicitly not verified against the literature"
B87_m3_genus	main	UNCLEAR	no	full m=3 SPECTRAL (M,L) A-polynomial genus	FINDINGS.md 'Honest scope'	explicitly marked open/pending, blocked by 'too slow' elimination and by unavailable Magma/Ptolemy tooling per the 2026-07-09 addendum
B89T_tower_route	main	ASSERTED	no	module-isomorphism (M) for all n	FINDINGS.md 'Labels'	explicitly labeled CONJECTURED; the derivation for all n is stated as the lone open item
B89_sl4_symbolic_M4L	main	ASSERTED	unknown	the family (4-parameter gauge-fixed slice) covers the whole component	FINDINGS.md 'Coverage: B73's numerical reps gauge onto the locus'	the covering claim relies on numerical checks in tests (not shown in this packet) that B73 reps gauge into the family; not verified in the files read here
B89_sl4_symbolic_M4L	main	IMPORTED	no (B149 not in this packet)	B89's family is the complete component of irreducible reps (forward note referencing B149)	README.md forward note	the completeness upgrade is attributed to a different arc (B149) not read here
B92_metallic_classification	main	COMPUTED	unknown (addendum computation via Sage/PARI not in this packet's files)	companion M_m is the UNIQUE GL(2,Z) class for m<=5 and m=7,8; first non-uniqueness at m=6 (h=2)	FINDINGS.md ADDENDUM 2026-08-18 class-number table	the addendum's corrected class-number table used external tools (Sage BinaryQF, PARI cross-validation) whose scripts are not among the files read in this arc
B94_tower_universality	main	COMPUTED	yes (depends on B54/B65 files existing, not in this packet)	char(J^2) factors exactly over catalog char(N^k), N=M_1^2, at SL(3) and SL(4); no sign sectors, no (t+1)	probe.py universality(), reusing _sl3_jacobian_m1/_sl4_jacobian_m1 imported from B54/B65 probe modules	exact symbolic factorization at m=1 only; cross-arc dependency on B54/B65's symbolic_jacobian() functions not verified in this batch
B94_tower_universality	main	UNCLEAR	no	plethysm-universality for non-metallic N at n>=3	FINDINGS.md 'Scope'	explicitly labeled open (Task A)
B96_geometry_invariants	main	UNCLEAR	no (needs Sage, unavailable)	|tau_3| torsion is branch-ambiguous, not reported as a number	FINDINGS.md 'Honest status of secondary quantities'	explicitly left open
B98_geometric_jacobian	main	IMPORTED	n/a (explicitly a citation)	the 3d-3d correspondence / Daly bridge	FINDINGS.md, README.md	explicitly labeled as citation, not our claim -- correctly hedged
B100_literature_crosscheck	main	IMPORTED	yes (depends on B98 file)	twisted-Alexander transverse quadratic t^2-5t+1 = B98's geometric-rep Jacobian	probe.py twisted_alexander_transverse_quadratic(), reuses _b98().char_at_geometric()	direct reuse of the locked B98 result, not independently recomputed; the genus figures (0 and 3) are explicitly 'cited/prior-banked, not recomputed here'
B101_hitchin_reframing	main	COMPUTED	yes (per FINDINGS description; not independently verified from full probe.py in this sampled read)	Lorentzian rung occurs only at k=2 in the symmetric-space ladder; no tower of spacetimes	FINDINGS.md R2 'ladder_signatures'	SAMPLE_CODE mode used per packet instructions; the load-bearing ladder_signatures()/lorentzian_rungs() function bodies were not read in full
B101_hitchin_reframing	main	COMPUTED	yes (per FINDINGS; function body not fully sampled)	H^1 splits 3+5 (Teichmuller + cubic); explicit Anosov deformation leaves V0 and breaks SO(2,1) form	FINDINGS.md R4, probe.py tangent_space_split()/cubic_deformation_witness() (not fully read)	FINDINGS.md explicitly notes an 'honest scope': the unconstrained cubic deformation also moves the puncture holonomy off unipotent, a limitation the arc itself flags
B105_n5_wall_and_convergence	main	ASSERTED	unknown (Appendix A demonstration not identified as a separate file in this packet)	Correction A: seed-variation of the 3 unresolved factors is uninformative noise from eps-series rank-deficiency, not evidence of 'coordinate artifact'	FINDINGS.md 'Corrections' section, citing an 'Appendix A' demonstration	the FINDINGS text refers to 'Appendix A demonstrates...' but no such appendix file is listed among this arc's 4 files; likely embedded in probe.py or the test file, not confirmed in this read
B105_n5_wall_and_convergence	main	COMPUTED/ASSERTED mixed	partially (cusp_spectrum_facts is a simple numeric check; the 'three obstacle' framing itself is an interpretive/structural argument, not a single computation)	H6/V91: n=5 is a threshold of THREE distinct obstacles (degree=rank, tower doubling, trace-ring non-closure), not one collision	probe.py forced_cusp_spectrum()/cusp_spectrum_facts() (sampled); FINDINGS.md V91 correction text	the three-obstacle distinction rests on citing three separate arcs (B95, B62, engine-free trace-ring argument) rather than one self-contained computation in this file
B107_physics_connection_audit	main	ASSERTED	unknown	mass/dimension = tower-eigenvalue identification is a category error; only M_SUSY ≅ M_flat + 3-branch correspondence is citable	FINDINGS.md section C	this is an interpretive/classification judgment (withdrawal of an overclaim), not a computation with a witness file
B110_off_locus_sector	main	IMPORTED	yes	figure-eight SL(3,C) character variety has exactly three irreducible components (V0,W1,W2), all on the forced locus	FINDINGS.md main table	cites Heusener-Muñoz-Porti (arXiv:1505.04451) for the component count, but the forced-locus check itself is computed via exhaustive grid search over V0∪W1∪W2
B123_arithmeticity_m1	main	IMPORTED	no	figure-eight is the unique arithmetic knot complement; m>=2 metallic manifolds are non-arithmetic (as knots)	FINDINGS.md, citing Reid 1991	cited literature theorem, not computed; FINDINGS itself flags the m>=2 confirmation step as 'SnapPy/Magma-GATED... the repo has no trace-field classifier' at time of writing
B123_arithmeticity_m1	main	ASSERTED	no	third independent m=1 selection criterion (arithmeticity, alongside systole and expansion threshold)	FINDINGS.md headline	This specific claim (that arithmeticity uniquely selects m=1) is explicitly overturned by B125 the same day in the log; the arc's own arc_verdict.json still lists superseded_by: null
B125_snappy_arithmeticity	main	COMPUTED	unknown	m=1 kM=Q(sqrt-3), m=2 kM=Q(i), both arithmetic; m=3..6 non-arithmetic (degree>=4)	probe.py RECORD dict + live_arithmeticity(), FINDINGS.md sec 2	computed in-sandbox with SnapPy 3.3.2 + cypari 2.5.6 and recorded as a hardcoded RECORD dict in probe.py; the live recomputation function exists and is SnapPy-guarded (skips if absent) so a stranger without SnapPy installed only gets the hardcoded record, not an independent recomputation
B126_ladder_to_physics	main	COMPUTED	partial	kappa-degree over Q(z) = [1,1,3,3,7,6] for m=1..6, rational exactly for arithmetic members m=1,2	probe.py kappa_degree(), KAPPA_DEGREE_RECORD	m=1..4 computed live via Groebner elimination in probe.py; m=5,6 are recorded from 'the longer run' (not re-derived live, no script shown for m=5,6), described honestly as 'family-specific observation, not a law'
B126_ladder_to_physics	main	IMPORTED	no	rigidity propagates exactly two floors then hits a nameable wall (3d->4d ceiling N=4 SYM/N=2*)	FINDINGS.md main body	argument built from cited literature theorems (Dimofte-Garoufalidis, Yoon, Gang-Yonekura, Kapustin-Witten, etc.), not from a committed computation; the in-house computed facts (A) and (B) support but do not by themselves establish the ladder-map conclusion
B127_chirality_arithmetic_naming	main	COMPUTED	unknown	CS(M_m^2=R^mL^m) identically 0 for m=1..6 (SnapPy complex_volume, machine zero)	FINDINGS.md M-2	described as computed via SnapPy but the FINDINGS/README note the SnapPy recomputation is guarded/skips when absent; the packet did not include probe.py at full-read depth for this arc (only FINDINGS/README/verdict were in the batch's per-file list for B127, no probe.py entry present in packet)
B128_symmetry_breaking_chirality	main	COMPUTED	unknown	torsion tracks periodicity not chirality (K-F tombstone), e.g. achiral doubles single-torsion, achiral periodic triples doubled	probe.py TORSION_TABLE, torsion_does_not_track_chirality()	recorded as a hardcoded table from SnapPy computation; live SnapPy recomputation is guarded/optional
B129_sl3_tower_sealed	main	COMPUTED	unknown	S1b: 15-seed x 30-start off-sublocus scan finds 427 converged fixed points, max distance-to-Q(sqrt-3)=1.2e-6, 0 escapes beyond 1e-5	probe.py offsublocus_search(), S1B_SCAN record	scipy-guarded numerical root-find; the specific 427-point/15-seed run is recorded as a hardcoded number (S1B_SCAN dict), described honestly in FINDINGS as 'strong computational result, NOT a theorem'; a stranger without scipy gets only the recorded numbers, not a fresh scan
B129_sl3_tower_sealed	main	COMPUTED	unknown	silver bundle b++RRLL degree-2 covers reach (cusps,free_rank)=(2,2)	probe.py silver_covers()	SnapPy-guarded; skips cleanly if SnapPy absent, record stands as hardcoded fallback
B130_no_forced_choice	main	COMPUTED	partial	kappa-elimination ideal empty for m=2,3,4 (symbolic Groebner) -> kappa free on fixed locus	probe.py kappa_elimination(), KAPPA_FREE_SYMBOLIC	m=2 computed live in the script's main(); m=3,4 are described as 'verified in-sandbox; recorded' with runtimes noted (~80s, ~8s) but not executed live in main() by default -- a stranger rerunning main() only gets m=2 live, m=3/4 as hardcoded record unless they manually call kappa_elimination(3)/(4)
B131_two_seed_fork	main	IMPORTED	partial	A-poly relations m=1: kappa=trT^4-5trT^2+2 (=B67); m=2: kappa=trT^2-6 (=B69/V33)	probe.py apoly_relation(), FINDINGS.md sec 'A-polynomial curves'	stated to reproduce prior arcs B67/B69 exactly; also independently re-derived here from explicit SL(2,C) matrices (verify_apoly_from_matrices, numpy-guarded, residual ~1e-14)
B131_two_seed_fork	main	COMPUTED	unknown	(1,3) and (2,3) forks are numerical (6 and 4 values respectively)	probe.py FORKS dict	hardcoded numerical values in probe.py without a live root-finder shown for these in main(); described as 'numerical' honestly in FINDINGS but the exact Newton-solve script producing them is not visible in the sampled code
B134_chirality_recursion_proved	main	IMPORTED	no	GHH 2008 anti-palindromic <=> amphichiral (the underlying mechanism)	FINDINGS.md proof, citing Goodman-Heard-Hodgson arXiv:0801.4815	cited published theorem, not re-derived from scratch; the arc's contribution is the elementary lift to block-length sequences, honestly stated as such
B134_chirality_recursion_proved	main	COMPUTED	unknown	SnapPy three-way check: anti-palindromic == cyclic-palindrome == is_amphicheiral agree on 16 sample cases	probe.py snappy_threeway()	SnapPy-guarded, skips cleanly if absent
B135_lee_yang_m_specific	main	ASSERTED	n/a	match is at modular-data level only, NOT a full RCFT identification	FINDINGS.md D3, probe.py match_level string	an honest scope statement about what was NOT shown, not a computed positive claim
B136_general_amphichirality	main	COMPUTED	unknown	SnapPy three-way agreement on metallic and non-metallic words	probe.py snappy_threeway()	SnapPy-guarded, skips cleanly if absent
B137_s031_sealing_m2	main	COMPUTED	unknown	SL(3) tower sealed in K_m for m=1 (Q(sqrt-3)) and m=2 (Q(i)) among irreducible off-sublocus fixed points, 0 escapes, 2 seeds each	probe.py sealing_search(), SEALING_RECORD	scipy-guarded numerical root-find; the specific per-seed counts (irreducible count, escapes, reducible artifacts ignored) are hardcoded in SEALING_RECORD as a fallback when scipy is absent; a stranger without scipy only gets the recorded numbers, not a fresh search
B138_s031_principal_lemma	main	UNCLEAR	no	SL(4) sealing/escape evidence	FINDINGS.md (2)	explicitly stated as NOT obtained (intractable in-session); an honest negative, not a computed result
B139_firewall_cartography	main	COMPUTED	unknown	SnapPy CS-flip / volume-invariance / H1-invariance control	probe.py cs_flip_live()	SnapPy-gated; skips cleanly if absent, so reproducibility depends on the environment having SnapPy installed (not verified in this read)
B140_compute_reconciliation	main	UNCLEAR	no	genus-2 chiral twister illustration + its CS numeric	probe.py genus_general_live()	FINDINGS.md explicitly calls this a 'soft spot': twister/Sage absent in-sandbox at the time this arc ran; closure is stated to rest on the general theorem, not this numeric
B141_s031_split	main	ASSERTED	no	'Finite image => reducible tower' (the stated Item-3 mechanism)	FINDINGS.md Item 3 / README.md	the addendum shows this general implication is FALSE (SL(2,3)=2T is finite yet has an irreducible Sym^2); FINDINGS.md/README.md/arc_verdict.json still state the finiteness mechanism as the takeaway without an inline correction
B142_klein4_and_magic_cartography	main	COMPUTED	unknown	s776 = magic manifold (not Borromean rings), vol 5.33349, trace field Q(sqrt-7), 3-chain link not Brunnian	probe.py factual_correction()	SnapPy-gated; not re-run in this read, but the values are concrete and specific enough to be a real computation rather than an assertion
B142_klein4_and_magic_cartography	main	COMPUTED	unknown	s776 SL(3,C) Ptolemy variety has 14 obstruction classes, geometric component dim 6	probe.py sl3_ptolemy_object()	Sage-gated; the 'honest object' is only partially instantiated (size reported), not solved -- the SU(3) content question stays open per FINDINGS Item C
B143_interaction_feasibility	main	ASSERTED	no	topological (JSJ) venue is not SnapPy-tractable, needs Regina (not installed)	probe.py topological_venue()	an honest tooling-gap statement, not a computation; Regina absence is reported directly
B143_interaction_feasibility	main	ASSERTED	unknown	'588 irreducible reps' claim from an AI-assisted review is not reproducible; falsifiable Massey-product part dead for s776	FINDINGS.md item 4 / probe.py verify_588_claim()	the 588 count itself is stated as not reproducible without the source method -- an honest absence, not re-derived here
B144_interaction_chirality	main	COMPUTED	unknown	the metallic pieces b++RL, b++RRLL are amphichiral (premise for the identity to apply)	probe.py pieces_are_amphichiral()	SnapPy-gated; falls back to recorded B128 values if SnapPy absent
B144_interaction_chirality	main	UNCLEAR	no	explicit closed cusp-glued composite build in Regina	probe.py regina_build_attempt()	explicitly reported as not in-session-tractable; the structural argument is said to stand without this build
B145_forced_chirality	main	COMPUTED	unknown	GHH criterion (anti-palindromic) matches SnapPy is_amphicheiral on all 39 catalogued bundles	probe.py catalog()/analyze()	SnapPy/Sage-gated (trace-field degree needs Sage); not re-run here
B145_forced_chirality	main	FITTED	unknown	'every quadratic-trace-field bundle is amphichiral / no arithmetic chiral o-p-t bundle'	FINDINGS.md bullet 4 / probe.py bundle_trace_fields (non-invariant trace field)	used the non-invariant trace field rather than the arithmeticity-relevant invariant trace field; the arc's own successor (B146/B147) shows this specific claim is false when the correct (invariant) field is used
B146_b145_calibration	main	COMPUTED	unknown	invariant trace field of RRL/RLL is imaginary-quadratic Q(sqrt-7), refuting B145's non-invariant-field claim	probe.py arithmetic_arm()	SnapPy+Sage-gated; not re-run in this read but reported as a specific catalog scan result
B146_b145_calibration	main	COMPUTED	unknown	M and mirror agree on orientation-independent invariants (vol/H1/trace field), CS flips	probe.py dichotomy_witness()	SnapPy/Sage-gated witness for chiral words RRL, RRRL
B147_arithmetic_chiral_bundle	main	COMPUTED	unknown	RRL/RLL traces are algebraic integers (monic minimal polynomials via pari algdep)	probe.py integral_traces()	runs under plain pyenv (SnapPy+cypari); not re-executed here, but the method (monic-polynomial test, actual-degree leading coefficient) is concretely specified and a real bug in an earlier version is documented as caught (leading coeff must be read at actual, not search, degree)
B147_arithmetic_chiral_bundle	main	COMPUTED	unknown	independent volume/Bianchi-covolume cross-check: vol(RL)/covol=12, vol(RRLL)/covol=12, vol(RRL,RLL)/covol=3	probe.py VOLUME_BIANCHI_RATIOS (recorded, computed under sage-python separately)	explicitly stated as run under a separate sage-python process and recorded as a constant in this pyenv-only probe.py, not independently re-derivable from this file alone
B147_arithmetic_chiral_bundle	main	COMPUTED	unknown	arithmetic o-p-t bundle scan (len<=7) finds exactly 4 arithmetic bundles: RL, RRLL, RRL, RLL	probe.py arithmetic_scan()	SnapPy+cypari-gated scan, not re-run here
B148_kappa_fricke_metallic	main	UNCLEAR	no	the physics/cosmological-constant motivation and the class-S coincidence question	FINDINGS.md §0, §4	explicitly labeled POSTULATED/firewalled and left as an open reading task, not a computation
B150_class_s_coincidence	main	IMPORTED	no	The physics identification itself (SL(2,Z) trace-map action IS the N=2* S-duality MCG action on the character variety, not merely on tau)	FINDINGS.md sec1/sec3 comparison table, citing arXiv:2411.17378 (Allegretti-Shan), arXiv:0907.3987 (GMN), arXiv:0711.1579/0711.1727 (Cantat-Loray)	the FORCED tags rest entirely on cited prose from external papers, not on anything computed in this repo; the probe only re-asserts B148's anchor numbers and hard-codes the COMPARISON table's tags/text as Python dict literals — a stranger cannot verify the tag assignments without independently reading the four cited arXiv papers
B151_firewall_confirmation	main	ASSERTED	no	The firewall verdict itself: 'the complex volume/CS invariant enters only as a dimensionless exponent, all dimensionful content in hbar/k and squashing radius' -- FIREWALL_HOLDS for all 3 sources	probe.py lines 40-60 FIREWALL_READING list (hardcoded dict literals with 'exhibited_text': ''); FINDINGS.md table	this is explicitly a reading task per the arc's own framing ('a fact about how the primary sources assign units, not a sandbox computation'); the three FIREWALL_HOLDS tags are literal Python dict entries with no computation behind them and empty exhibited_text fields -- nothing here is machine-checked against the cited papers' actual text, only asserted by the author
B153_degree_rank_degeneration	main	COMPUTED	unknown	n=3 {1,i,-i}: exact-over-F_p (3 primes) 2-component decomposition, dim-5 geometric component tangent 11 rigid/irreducible/L=+M^3; dim-3 reducible slice tangent 10	n3_exact_endpoint.sage (NOT independently read by this reviewer; referenced in FINDINGS.md sec 'n=3 is a genuine component')	the .sage file was listed as FULL mode but not opened in this pass; FINDINGS.md describes it as reproducible via Sage, and the claimed exact tangent values (11, 10) are explicitly flagged in FINDINGS.md as a self-caught correction from an earlier wrong numerical value (14), which is a good transparency sign, but this reader did not verify the sage script's content directly
B154_silver_bundle_foundation	main	FITTED	yes	Closed-form exponent law k=4-m(o-3) fit to o in {3,4}, m in {1,2}	FINDINGS.md 'A clean closed form fits every point' section, explicitly labeled 'empirical fit', and then superseded by the CORRECTION banner (2026-06-17, B157/V151): 'the closed form k=4-m(o-3) is REFUTED' with counterexamples at m=3	the fit itself is reproducible from the committed data points, but was explicitly refuted in a later arc (B157) with the correction banner properly appended in this same FINDINGS.md file
