packet	path	outcome	certifies	depends_on	runtime_s	reason	evidence
D002	certificates/r012_dark_ledger_scope.py	PASS	Exact (SymPy, rational arithmetic) fixed-frame check that the E6 27-dim rep splits under a fixed D5xU(1)_psi grading as 16(+1)+10(-2)+1(+4), that the 45 weight-zero supports of the normalized invariant cubic split into exactly the types (10,16,16)x40 and (1,10,10)x5, that a chosen branch A1-grading gives bridge weights {-1:6,0:15,1:6} and root charge -3, and that 'matter parity' (from the 16 sign) equals neither the selected bridge-parity lock nor its negation on all 27 weights -- i.e. a scoped negative/no-go result, not a physical dark-matter derivation.	imports/execs the first 3 stages of certificates/r006_e6_invariants/twisted_double.py (E6 root system, 27-weight construction, rho27 representation) up to a marked cut point in that file; otherwise self-contained exact arithmetic.			stage 1 VERIFY: rho27 respects ALL 3003 Chevalley brackets: PASS stage 3: relator acts as identity on the 27: PASS D5 x U(1)_psi branching: {4: 1, 1: 16, -2: 10} cubic support types: {('1', '10', '10'): 5, ('10', '16', '16'): 40} matter parity conserved on all 45 supports: True matter parity equals selected lock up to sign: False VERDICT: FIXED-FRAME CUBIC HYPERGRAPH/PARITIES PROVED; DARK-MATTER PHYSICS NOT DERIVED (exit code 0)
D002	certificates/r013_rung_transfer.py	PASS	Exact-over-Q (Fraction arithmetic, no third-party deps) reproduction of the 64 Levi subsystems of E6 by root count (root counts 0..72, ambient Levi dims {6,8,...,78}, 26 realized by exactly 4 A4 node-subsets, exactly 3 ambiguous dims {12,18,20}), then an independent 'root-side' construction of the 66-root arrangement obtained by restricting all 72 E6 roots to the orthogonal complement of a chosen A2 subsystem (verifying A2 is the unique rank<=2 6-root system, that all A2 subsystems form a single Weyl orbit, and dim z(C)=12), and finally an exact flat enumeration over Q of that arrangement giving 109 flats whose realized rung spectrum {12,14,16,18,20,26,28,30,36,46,78} matches all 11 values claimed by the paper (matching a companion mod-p certificate's independently-computed weight multiplicities and flat count without sharing code).	none (self-contained; Bourbaki E6 Cartan matrix hardcoded as EDGES); cites agreement with a companion script check_rung_attained.py's numbers (12x1+18x3 multiplicities, 109 flats) but does not import/run it.			[PASS] E6 built by reflection closure: 72 roots [PASS] root counts are 0,2,4,6,8,10,12,14,20,22,24,30,40,72 [PASS] the fourteen ambient Levi dimensions [PASS] all A2 root subsystems form one explicitly enumerated Weyl orbit [PASS] 109 flats -- the same lattice the charge-side route finds at a prime [PASS] the spectrum is EXACTLY the paper's eleven values  [12, 14, 16, 18, 20, 26, 28, 30, 36, 46, 78] PASS: every check reproduced exactly. (exit code 0)
D002	certificates/r014_paper4_counterexamples.py	PASS	Exact algebra in Q(q), q^2=q-1, verifying the frozen s955 SnapPy 3.3.2 gluing matrix (isosig gLvQQadfedefjqqasjj, census index 1256) admits a complete regular ideal-triangulation shape solution with all shapes equal to the primitive 6th root q (discriminant -3 shape field), refuting a claimed exhaustive 14-member family scanned only up to index 1200; and a second, elementary counterexample that curvature-normalized hyperbolic volume DOES distinguish a manifold from a degree-3 cover (volume scales by the degree), refuting a literal 'scale theorem' while noting physical-unit conversion still needs an external length scale.	hardcoded/frozen SnapPy 3.3.2 census metadata (s955 isosig, gluing matrix, census size 212641, paper's scanned range up to index 1200) taken as given data, not recomputed from SnapPy in this script; otherwise pure exact fraction arithmetic.			s955 exact regular-shape gluing: 6 edge equations and 2 cusp equations PASS shape polynomial: X^2-X+1, discriminant=-3 verdict: the asserted exhaustive 14-member family is REFUTED scale counterexample: normalized volume of a degree-3 cover is 3*volume VERDICT: BOTH LITERAL PAPER-IV CLAIMS REFUTED; FULL-FAMILY SEPARATOR REMAINS OPEN (exit code 0)
D002	certificates/r016_habiro_zeta3_embeddings.py	PASS	Exact symbolic (SymPy, exact cyclotomic/Q-algebra, no floating point) check that the figure-eight-knot Habiro series F(q), Taylor-expanded to order 8 around q=zeta_3 (zeta_3 abstract, x^2+x+1=0, stable under increasing the truncation bound), reproduces a norm-valuation table v_p(Norm(F(xi)-Taylor sum)) that is >= N and strictly increasing at N=1..8 for all 4 tested cyclotomic levels (p,r) in {(5,1),(5,2),(7,1),(7,2)} when zeta_3 is embedded via the compatible cube root, while the SAME code with the conjugate cube root at level 15 exactly reproduces a claimed prior collapse [2,0,0,...,0] through order 11 -- isolating the discrepancy as an embedding-choice artifact rather than a truncation artifact, on these four specific levels only (not an all-level claim).	cites (but does not import or re-run) c2_habiro.py/c2b_ohtsuki_bridge.py for using 'the same F(q)' and for the earlier level-15 collapse (memo 69) being reproduced here as a control; otherwise self-contained sympy computation.			stabilization K_BOUND=27 -> K_BOUND2=36: coefficients unchanged: True p=5, r=1, modn=15: N=1:v=2 ... N=8:v=16 corrected-embedding gate: all 4 rows have v(N) >= N and strict growth: True conjugate-embedding control at modn=15 through N=11: [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] memo-69 collapse reproduced under the conjugate embedding: True R016 PASS: B1158's corrected cube-root embedding restores the tested global norm-valuation bound on all four frozen levels. (exit code 0)
D002	certificates/r017_yukawa_primary/verify_yukawa_cup_product_308_scope.py	PASS	Exact combinatorial/character-arithmetic check (Z/12-graded convolution, invariant-dimension counts) that fixes the norm-308 model's exact charge vectors A, B, C and Wilson-projected sector dimensions, verifies a claimed exact-sequence naturality argument (h0_L-h0_GY==h1_V, h1_GY=h1_K1=h2_K1=0) forces the up-type Yukawa cup-product map mu_u to be the exact 1x1806 (Wilson-projected 1x6) zero matrix, and asserts that specific required strings/results (including 'H_d ... not computed') are present in memos/YUKAWA_CUP_PRODUCTS_308.md -- explicitly scoping that mu_d still has no chain-level Cech/hypercohomology evaluation; it does not itself perform a cup-product/hypercohomology computation.	reads and string-matches against repo file memos/YUKAWA_CUP_PRODUCTS_308.md (relative to worktree root, 3 levels up from the script); hardcoded exact charge/dimension constants (A, B, C vectors, h0_L=48, h0_GY=6, h1_V=42, etc.) taken as given from the cited BCDD sequence argument rather than derived in-script.			k=4: selected sectors={'u^c': (4, 3), 'Q': (8, 3), 'e^c': (0, 3), 'd^c': (4, 3), 'L/Hd': (0, 4), 'Hu': (0, 1)} DATA full unprojected mu_u domain dimension = 1806; induced matrix has rank 0 DATA Wilson-projected up matrix is the exact 1 x 6 zero matrix RESULT exact naturality factorisation gives mu_u = 0 and rank(mu_u) = 0 SCOPE mu_d still has no Cech/hypercohomology chain-level evaluation Yukawa cup-product scope certificate: PASS (exit code 0)
D003	certificates/r017_yukawa_primary/verify_yukawa_exact_spectrum_no_go.py	PASS	Exact finite representation-theoretic check that after a determinant twist the ambient Higgs characters are (0,1) with chi_0 multiplicity 1, and that any total H_u multiplicity of 1 forces the ambient (renormalisable) up-type Yukawa rank to 0 (else total>=2); combinatorial/exact integer arithmetic plus text-marker checks against two memo files for cited claims.	Reads and greps for hardcoded marker strings in memos/YUKAWA_EXACT_SPECTRUM_NO_GO.md and memos/YUKAWA_CUP_PRODUCTS_308.md (relative to repo root); hardcoded ambient character tuple (10,11) and Wilson-branch dict {4:0,8:0}.	0.1		DATA ambient Higgs characters after determinant twist = (0, 1) DATA retained Wilson branches select H_u character = {4: 0, 8: 0} RESULT exact one-Hu spectrum forces the unique Higgs into the ambient image RESULT naturality forces its renormalisable up-type Yukawa rank to zero PASS OA-C1055 same-monad coefficient variation cannot repair Y_u without changing the spectrum
D003	certificates/r019_hypercharge/hypercharge_trinification_scope.py	PASS	Exact (sympy Rational) check that, in the E6 27-dim rep restricted to all three color-A2 x weak-A2 trinification frames, the unique SM-anomaly-free hypercharge assignment from the 15-plet decomposition matches the SM ratio set for all 3 colors x 3 weak roots (36 solutions, all SM, 0 non-SM), and separately a symbolic/exact universal anomaly-cancellation argument (independent of E6) reproducing the same ratios via cubic-in-u factorization.	Executes (via exec of a source slice) the E6 root/weight construction from certificates/r006_e6_invariants/twisted_double.py in the same repo; hardcoded target SM hypercharge ratio set SM = {(-4,2,-3,6),(2,-4,-3,6)}.	3		FRAME color=0 weak_slot=2: {'solutions': 36, 'SM': 36, 'non_SM': 0} ratios=[(-4, 2, -3, 6), (2, -4, -3, 6)] ... THREE-COLOR-FRAME COVARIANCE: PASS ... ratios are SM up to u<->d, independently of E6: PASS SCOPE VERDICT: selected trinification frames realize the universal ratio theorem; the frame, physical 15-plet, gauging and overall normalization are not selected.
D003	certificates/r020_beat64/r020_beat64_principal.py	PASS	Exact (Fraction/Q(q) arithmetic, q^2=q-1) computation in the E6 Lie algebra checking a claimed 'restricted semilinear beat' Sigma=exp(ad(q*E_principal))∘Galois against a 64-dimensional candidate invariant subspace V64 (built from two principal-sl2 5-strings plus 54 crossing roots) and its 14-dim orthogonal complement (fork); all containment checks (Sigma(V64)⊆V64, Sigma(P0)⊆V64, etc.) evaluate to False, and the script's own assertions (theta is an involutive Chevalley automorphism, signatures (26,52,0) and (0,8,0), rank checks, Sigma^2=exp(ad E) on the full 78-dim algebra) all pass, yielding the printed verdict 'REFUTED — no restricted Sigma or restricted tick endomorphism of V64.'	Executes a source slice of certificates/r006_e6_invariants/twisted_double.py (E6 root system, brackets); internally fixes a specific swapper (#13) and lift (#0) as 'the source-locked B1140 representative' by convention/citation, not derived.	8		Sigma(V64) subset V64: False Sigma(P0) subset V64: False Sigma(P1) subset V64: False Sigma(C54) subset V64: False Sigma(C54) subset C54: False ... Sigma^2=exp(ad E_principal) on all 78 Chevalley basis vectors: True R020 VERDICT: REFUTED — no restricted Sigma or restricted tick endomorphism of V64. (process exit code 0, no AssertionError)
D003	certificates/r021_gieseking_pinminus/gieseking_pinminus_restriction.py	PASS	Exact combinatorial/group-presentation computation (integer/string arithmetic, no numerics) showing for the Gieseking manifold M=m004 and its orientable double cover N=m000 that H^1(N;F2) and H^1(M;F2) each have rank 1, H^2(N;F2)=0 so the Pin^- obstruction vanishes (2 Pin^- structures on N, 2 spin structures on M), and that the pullback map p*:H^1(N;F2)->H^1(M;F2) is the zero map, so by affine restriction both Pin^- structures on N restrict to the same spin structure on M, i.e. the other spin structure on M does not extend to a Pin^- structure on N.	Hardcoded group-presentation data (relator strings 'abABaBAbaB', 'BabAb') and a hardcoded 2x2 monodromy matrix X=((1,1),(1,0)) for the once-punctured-torus mapping torus, taken as given topological/combinatorial facts about these specific manifolds; no external files or repo imports.	0.1		Pin^-(N) is an H^1(N;F2)-torsor: exactly 2 Pin^- structures Spin(M) is an H^1(M;F2)-torsor: exactly 2 spin structures linear difference map p^*: H1(N;F2)->H1(M;F2) is the zero map affine restriction: res(P)=s and res(P+u)=s for one unnamed spin structure s therefore the other spin structure on M does not extend to a Pin^- structure on N
D003	certificates/r022_v4_torsors/v4_named_action_audit.py	PASS	Exact finite/combinatorial audit (tuple/integer arithmetic, no imports besides itertools) of three proposed V4=(Z/2)^2 actions (branch-selection B1161, being-by-hearing product, B1024 H1-quotient), verifying they are abstractly equivariantly isomorphic as regular V4-actions (identical character tables, fixed-point counts) but that their field labels (ramified primes {2,3} for Q(zeta_12) vs {5} for Q(sqrt5)) are not compatible, so the full three-way identification is 'ILL-TYPED/OPEN'; also checks B766 is an 8-point free (Z/2)^3-torsor, not V4.	Hardcoded numeric/field-theoretic data cited from the source memos: quadratic discriminants for d=-1,3,-3 and d=-3,5,-15, the B1024 cocycle/character conventions (chi_plus, chi_c, all_plus sign vectors), and B1024/B766 fixed-dimension/type annotations (36/C4, 52/F4) taken as given, not derived.	0.1		[verdict]  abstract four-point regular V4 actions: EQUIVARIANTLY ISOMORPHIC  with field labels retained: branch-selection vs being-by-hearing are NOT label-preserving  full three-way claim: ILL-TYPED/OPEN until branch labels and the measurement carrier are frozen  minimal falsifier: a label-preserving map must preserve the field/Dynkin-label annotations;                  ramification {2,3} vs hearing's {5} already separates the first two EXIT=0
D004	certificates/r023_b1196_generation_obstruction.py	PASS	Re-derives (by shelling out to two banked frontier scripts, B299 trinification_triality.py and B891 matter_extension.py) that the exact orbit dimensions of theta/phi on the 27 (fixed=0, orbits {3:9}) give union dimensions {0,9,18,27} for any combination of three 9-blocks, and that B891's three foreign 16-dim eigenspaces are exactly 16, none of which lies in {0,9,18,27} — refuting the OA-C1155 carrier identification. Exact integer/combinatorial check plus regex-matching against the two subprocess outputs (which are themselves exact symbolic computations, not independently re-verified numerically by this file).	Runs (as subprocesses) frontier/B299_trinification_triality/trinification_triality.py and frontier/B891_matter_extension/matter_extension.py, and hardcodes expected substrings/values from their output plus the block_dims=[9,9,9] constant.	3		trinification_blocks=[9, 9, 9] trinification_union_dimensions=[0, 9, 18, 27] b891_foreign_eigenspace_dimensions=[16, 16, 16] 16_not_in_any_9_block_union=True OA-C1155 CARRIER IDENTIFICATION: REFUTED R023 B1196 GENERATION OBSTRUCTION: PASS
D004	certificates/r023_b1197_clock_coherence.py	PASS	A full numerical census (via SnapPy) of Dehn fillings of m004: checks a sign-law control over 156 oriented (p,q) fillings, then shows the 78 unoriented fillings sorted by volume are NOT monotone in |Chern-Simons| (15 order violations), that only the p=1 family is monotone while p=2..8 are not, that the specially-selected (1,n) ladder (n=2..30) IS monotone, and a random-shuffle control produces many more violations — refuting the OA-C1153 full-common-domain coherence claim. Numerical (floating point with 1e-6/1e-9/1e-12 tolerances) via snappy's computed volumes/CS invariants.	snappy library (manifold m004, chern_simons/dehn_fill/volume/solution_type computations); a fixed RNG seed (20260828) for the shuffle control; hardcoded expected counts (156, 78, 15, 29, 36) taken as ground truth for this rerun.	5		oriented_closings=156 chern_simons_sign_control=156/156 unoriented_closings=78 selected_1n_ladder_monotone=True full_census_monotone=False full_census_violations=15 families_p2_through_p8_each_nonmonotone=True shuffle_control_violations=36 OA-C1153 FULL-COMMON-DOMAIN COHERENCE: REFUTED R023 B1197 CLOCK COHERENCE: PASS
D004	certificates/r023_b1199_selection_recheck.py	PASS	Exact integer arithmetic over SL(2,F_5): reads two banked JSON data tables (w0a_table.json, w2b_table.json from the B879 packet), verifies they list the same 745 primitive hyperbolic conjugacy-class words with matching per-length counts, that the unit-det/prime-conductor/trace-3 selectors all coincide on exactly {'LR'}, that SL(2,F5) has order 120 with 9 conjugacy classes of sizes [1,1,12,12,12,12,20,20,30], and that the 'shadow' value assigned to each word (abs_tr_odd_sq closed form) is constant on each conjugacy class (9 classes, all single-valued) with a specific multiset of values across the 745 words.	Two data files under frontier/B879_selection_cochain/packet/ (w0a_criteria/w0a_table.json, w2b_landscape/w2b_table.json), whose row content is treated as external input; the modulus P=5 and the matrices R,L as constants.	1		primitive_classes=745 classes_by_length=[1, 2, 3, 6, 9, 18, 30, 56, 99, 186, 335] word_sets_byte_level_equal=True unit_prime_trace3_selector=['LR'] sl2_f5_order=120 sl2_f5_conjugacy_class_sizes=[1, 1, 12, 12, 12, 12, 20, 20, 30] shadow_classes_represented=9 multivalued_shadow_classes=0 trace2_value_count=3 trace3_value_count=3 R023 B1199 SELECTION RECHECK: PASS
D004	certificates/r023_wave6_outside_hostile.py	PASS	Four independent exact-arithmetic checks using only stdlib Fraction: (1) an exhibited algebraic integer in a degree-3 number field (root of t^3-12t+5) has norm exactly 953 via an explicit determinant formula, factoring mod 953; (2) exposes a class-relation sign bug (outside row uses v_P+2v_Q instead of the correct v_P-v_Q) while separately verifying, via Hensel-lifted valuations at primes up to 17, eight explicit norm-generator witnesses used for a class-number-1 argument; (3) exact 2x2 matrix computation in Q(omega) showing a sign-corrected generator satisfies the m004 orbifold relator (maps to identity) while a claimed word is non-peripheral (nonzero lower-left entry) versus a peripheral alternative word (zero lower-left, equal diagonal); (4) exact arithmetic in Q(sqrt5) verifying eigenvector relations for a 3x3 integer matrix acting as scalar multiplication by 9±4sqrt5 on two vectors. All exact/symbolic via Python Fraction, no numerical tolerance.	Hardcoded polynomial (t^3-12t+5), hardcoded witness tuples/matrices/vectors taken from the B1093/grammar_disc48.py/reverser source materials being audited; no file I/O or external libraries.	1		NORM-953: alpha=-26-theta+2theta^2 has exact norm 953;   f mod 953=(x-372)(x^2+372x+187), and alpha vanishes at x=372. PASS P5-RELATION: theta^2-2 has (v_P,v_Q)=(0,1);   outside row uses v_P+2v_Q=2, but the class coefficient is v_P-v_Q=-1. DEFECT PRINCIPAL-WITNESSES: all eight prime ideals below the Minkowski bound have   exact norm generators and discriminating valuations; with B1093's maximal-order gate, h(K)=1. PASS GRAMMAR-DISC48: wrong-sign b sends the m004 relator to [[-1,0],[-4,-1]];   corrected b satisfies it, but baBAABab is nonperipheral; bABaaBAb is peripheral. REFUTED GOLDEN-REVERSER: DR(v_u)=(9-4sqrt5)v_s and DR(v_s)=(9+4sqrt5)v_u. PASS R023 OUTSIDE-TIP HOSTILE AUDIT: PASS
