packet	arc	orientation_source	status	evidence	amphichirality_test	headline	mechanism	note	quoted	files_read
F000	DOC:LAW_MAP.md#B717	OBSERVER_CHOICE	SUPERSEDED	ASSERTED	none in this synthesis row	THE OBSERVER-EMERGENCE SPINE (capstone): CHIRALITY is one of the object's incompletenesses, closed by the observer via 'Galois-sheet/c-swap'; c-as-SWAP means the observer breaks the object's swap-symmetry by choosing a side. Measurement = the choosing.	Synthesizes B713-B716: space (Dehn slope), time (flow continuation), chirality (Galois-sheet/c-swap), value (torsor basepoint) are all closings supplied by the observer, none intrinsic to the timeless/vector-like object.	Marked SUPERSEDED because the 'Galois-sheet' framing for chirality (identifying it with the β=1 SSB's Gal(K^ab/K) label) was later retracted by B942/B1004 (see next result) — the underlying conclusion (a side is chosen by the observer, not derived from the object) survives even though the specific Galois-group identification does not.	docs/LAW_MAP.md:156: | **THE OBSERVER-EMERGENCE SPINE (B717, capstone)** | ... CHIRALITY (Galois-sheet/c-swap), VALUE (torsor basepoint). Two motifs: boundaries↔closings; c-as-SWAP (observer breaks the object's swap-symmetry by choosing a side). Measurement = the choosing |	
F000	DOC:LAW_MAP.md#B942-B957	ARITHMETIC_GALOIS	STANDS	COMPUTED	none (pure Galois-group membership computation, not a manifold isometry/CS test)	B942 (kill condition executed) + B957: the earlier 'chirality = Gal(K^ab/K) label produced by β=1 cooling' identification is REFUTED (c ∉ Gal(K^ab/K), computed 2 ways); chirality is relocated one level up to the ℤ/2 quotient Gal(K/ℚ), present at every temperature, produced by no cooling — c-swap is arithmetic, not thermodynamic.	In 1→Gal(K^ab/K)→Gal(K^ab/ℚ)→Gal(K/ℚ)→1, complex conjugation c fixes K pointwise's negation (sends √−3↦−√−3) so c is never in the kernel Gal(K^ab/K) (verified symbolically and in 14 cyclotomic layers, index 2 throughout); no canonical ℤ/2 quotient exists in the profinite tower (census 0…31, unbounded) so even the relabeled group does not pin a canonical chirality value.	This retracts B723's specific SSB/thermal-cooling mechanism for chirality but keeps the fiber-functor-choice structure of B713/B717: chirality's existence as a ℤ/2 label is arithmetically forced (Gal(K/ℚ), from the object's own trace field ℚ(√−3)) but WHICH element (which side, i.e. the c-swap value) is still not object-derived — it remains the observer's fiber-functor/embedding choice per B713 (unretracted).	docs/LAW_MAP.md:218: ...c ∉ Gal(K^ab/K) (computed 2 ways, 14 cyclotomic layers, index 2 throughout), no canonical ℤ/2 quotient exists (census 0…31, unbounded), K has zero real places ⟹ **chirality is arithmetic (ℚ vs K), not thermal — present at every temperature, produced by no cooling** | `frontier/B942_l113_bc_falsifier` ... docs/LAW_MAP.md:222: B723 placed **chirality** and **values** in Gal(K^ab/K); chirality actually lives in **Gal(K/ℚ)** (B942) ... The *structure* — measurement = fiber-functor choice with Galois ambiguity — survives; the group assignment does not |	
F000	DOC:LAW_MAP.md#B945	UNSTATED	STANDS	COMPUTED	GHH criterion (ρσ = amphichirality) verified computationally per B945/tests/test_b945_l126.py	TIME-REVERSAL AND CHIRALITY ARE INDEPENDENT: reversal (ρ, time) and R↔L swap (σ, chirality) generate a Klein group on cyclic LR-words; GHH amphichirality = ρσ. One closing does not supply both arrow and handedness.	Stab(m004) is the FULL Klein group; both ρ and σ individually fix the word RL, so the amphichirality of m004 doesn't privilege either bit alone; of 31 amphichiral classes at length≤10, 18 are diagonal-only vs 13 full, showing the two ℤ/2's are genuinely separate structures.	Confirms chirality (the R↔L swap bit) is a distinct, separately-tracked ℤ/2 from time/parity, consistent with B1083's later C/P split; does not itself derive a specific handedness, only classifies the symmetry structure.	docs/LAW_MAP.md:109: | **TIME-REVERSAL AND CHIRALITY ARE INDEPENDENT *HERE* (B945 — L126 closed negative)** | on cyclic LR-words ρ = reversal (base S¹ ⟹ time) and σ = R↔L (fiber flip ⟹ chirality) generate a Klein group; GHH amphichirality = ρσ. **Stab(m004) = FULL Klein** ... One closing does NOT supply both arrow and handedness; B717's two closings stand |	
F000	DOC:LAW_MAP.md#B994	OBSERVER_CHOICE	STANDS	COMPUTED	none in this row (cites B713's result)	THE CASCADE'S ENDPOINT IS RULE-INDEPENDENT: 'registerable = chirality', and B713/B760 prove the object does not supply chirality — the SM endpoint is forced by an input (chirality) the object does not have.	Enumerating every registerable-respecting selection function over the cascade's rule-variation axis gives six chains, all landing on the SM; but 'registerable' at each step is exactly the requirement 'the generation stays chiral', and chirality itself is externally supplied, not object-derived (citing B713/B760).	Directly states, in the physics-facing part of the record, that chirality is an EXTERNAL input to the cascade, not something derived from the object/rule — consistent with B713/B717/B942.	"docs/LAW_MAP.md:330: ...**THE LIMIT, and it is the point: registerability IS CHIRALITY** (*""registerable = the generation stays chiral""*), and **B713/B760 prove the object does not supply chirality** — *the object cannot close itself*. **So the endpoint is forced by an input the object does not have.** Honest statement: *given E₆ ... and given CHIRALITY (external), six paths land on the SM.*"	
F000	DOC:philosophy/P019_the_genesis_axiom_chain.md#A6	OBSERVER_CHOICE	STANDS	ASSERTED	none	A6 [AXIOM]: orientability itself is a CHOSEN axiom — the monodromy is taken orientation-preserving (σ² not σ) — with the non-orientation-preserving sibling (det −1, the Gieseking manifold) explicitly a 'legitimate discarded object'.	σ's own matrix has trace 1, det −1 (non-orientation-preserving); the record takes the SQUARE (trace 3, det +1) to get an orientable object (m004/figure-eight). Choosing to square rather than keep σ itself is flagged as a hand-made 'engineering choice', not a theorem.	This is upstream of chirality/amphichirality entirely: even ORIENTABILITY (a precondition for asking 'chiral or not') is not derived from σ alone but is a chosen axiom (squaring), with the non-orientable alternative (Gieseking, from σ itself) explicitly named as a discarded, equally legitimate sibling — reinforced later by B1083's finding that 'orientability and amphichirality are bought together at tick two' (i.e., only after the chosen squaring).	philosophy/P019_the_genesis_axiom_chain.md:52-54: **A6 [AXIOM — orientability, the squaring].** The monodromy is taken orientation-preserving: not σ's matrix (trace 1, det −1) but its square (trace 3, det +1, dilatation φ²). *(The figure-eight is golden SQUARED — banked long ago as B122. The det −1 sibling is a legitimate discarded object; see fork F5.)*	
F000	B1033_generation_adjudication	UNSTATED	STANDS	MIXED	none (this arc is about E6 representation content/generation counting, not manifold chirality)	B1033 (generation adjudication, PROVED) does not itself compute chirality/orientation, but its ADDENDUM explicitly states the programme DECLARES chirality as an input rather than deriving it.	B1033 adjudicates whether the su(3)' index in the 27's flavor structure is a generation-count or a chiral/trinification algebra (finding: chiral/trinification, orthogonal to generation count); its addendum situates this against the Distler–Garibaldi framework and states the programme's own posture toward chirality.	Confirmed via git grep that B1033 is not retracted or superseded (frontier/B1034, B1036, B1044 all cite/build on it without contradiction). Its content is orthogonal to the core chirality-derivation question but its addendum is a rare explicit programme-level admission that chirality is declared/input, not derived — consistent with B713/B994/B942 above. FINDINGS.md and PREREGISTRATION.md were read; no chirality-specific computation appears in the main body.	frontier/B1033_generation_adjudication/ADDENDUM_2026-08-12.md: this arc's chain sits outside DG's hypothesis precisely because the programme DECLARES chirality as an input rather than deriving it — not a lucky escape but the price paid in the open	
F001	B1036_mirror_double	NOT_ABOUT_CHIRALITY	STANDS	COMPUTED	none	Uses the mirror-double M ∪_∂ M̄ as a cohomological construction (to gain multiplicity classes), not as an amphichirality test; no orientation is derived or tested.	Mayer-Vietoris on the double built from M glued to its orientation-reversed copy M̄ (mirror rep composed with sp.conjugate); the 'mirror' here is a fixed construction ingredient, not a computed handedness result.	No σ:a→ab,b→a rule appears in this arc; the 'mirror' is an algebraic doubling device (M̄), and no side/orientation is derived from it -- it's given as input to build the double, not tested for handedness.	"b1036_cells.py:1: ""B1036 -- THE MIRROR-DOUBLE SYMMETRIC TEXTURE (sealed a10ae240 pre-compute).""; PREREGISTRATION.md: ""the mirror side built by the banked twisted-double machinery (B639 precedent; the mirror rep composed with conjugation -- sp.conjugate, never subs)"""	
F001	B1086_spectrum_law	ARITHMETIC_GALOIS	STANDS	COMPUTED	none (direct cohomological equality h¹(27)=h¹(27̄), not a snappy is_isometric_to/symmetry_group call)	Chirality at count level is proved ZERO for every closed double (h¹(D;27)=h¹(D;27̄) in every cell); the mirror is identified with the Galois conjugation on the trace field, not with any σ-derived intrinsic orientation.	Poincare duality forces h¹(D_t;27)=h¹(D_t;27̄) on any closed double; separately, gal(ρ(λ))=ρ(λ)⁻¹ (meridian fixed) shows the geometric mirror acts exactly as the Galois automorphism of K=ℚ(√-3).	The arc computes that closed doubles are count-achiral and that the geometric mirror coincides with an arithmetic (Galois) label; it does not derive handedness from σ:a→ab,b→a, and treats the mirror as an externally-fixed Galois twist rather than an intrinsic byproduct of the substitution rule.	"FINDINGS.md:44-46: ""h¹(D_t; 27) = h¹(D_t; 27̄) in EVERY cell ... exactly as Poincaré duality forces for any closed double""; FINDINGS.md:66-67: ""The mirror=Galois identity that rides this arc (gal(ρ(λ)) = ρ(λ)⁻¹ exactly, meridian fixed) was independently verified ... B570's c-chirality line is now a computed peripheral fact."""	
F001	B1095_mirror_isospectral	OBSERVER_CHOICE	STANDS	COMPUTED	none (spectral/numerical eigenvalue comparison, not a snappy amphichirality call)	The two 'hands' (left/right half-lines) share their spectrum exactly at reversal-closed windows; the hand is only WHICH SIDE the observer/detector localizes states to -- a free (equivariant), not forced, choice.	At even-Fibonacci-index windows the left word is the letter-reversal of the right word, giving a conjugation J with J·H_R·J=H_L; energies are P-invariant (forced by this symmetry) but which hand binds which state is P-equivariant, i.e. hand-dependent/free.	This arc is about a substitution word's left/right halves (Fibonacci-type, structurally the same family as σ:a→ab,b→a) but explicitly frames handedness/side as which-hand-binds -- a free/equivariant fact, not something forced or intrinsically derived; no result here claims σ itself picks a side.	"FINDINGS.md:34-36: ""the exact statement is stronger: the energies are P-invariant (forced); the localization is P-equivariant (free). The origin torsor's P-bit (B1083: reversal = parity, not arrow) is physically realized as WHICH shared states bind -- the forced/free ontology instantiated in one computation."""	
F001	B1127_antilinear_completion	OBSERVER_CHOICE	STANDS	MIXED	none (Lie-algebra signature/automorphism-count detector, not a knot-amphichirality call)	Compact color requires a generic (non-object) complex conjugation; the object's own arithmetic mirror is proved trivial on the color layer, so the compactifying handedness is explicitly the OBSERVER'S, not the object's.	I1,I2 are ℚ-rational, hence fixed pointwise by any field automorphism of ℂ/ℚ, so the object's own Galois mirror (√-3↦-√-3) acts as the identity on color; the τ that actually flips (5,3)→(0,8) is the generic (non-arithmetic) complex conjugation.	The arc explicitly overrules its own headline/agent framing (which claimed the object's own mirror supplies compact color) in favor of the fence: handedness/compactification here is asserted to be the observer's choice, not derived from the object; this is the clearest single statement in the packet that a side is chosen, not computed from the object's own structure.	"FINDINGS.md:36-43: ""The object's OWN arithmetic mirror does NOT supply this. ... the literal ℚ(√−3)-Galois twist ... acts as the identity on the color layer and can carry no antilinear structure there. ... The τ that actually flips (5,3)→(0,8) is the GENERIC complex conjugation -- B1114's 'the observer's choice of real structure, not the object's.' So compact color is the OBSERVER'S archimedean closing -- into the object's own M(𝕆,ℂ) form."""	
F001	B1168_c5_investigation	OBSERVER_CHOICE	STANDS	MIXED	"none run in this arc; amphichirality of m004 is asserted/cited as background (""m004 is amphichiral"")"	A decidable parity+dimension law: object-canonical archimedean data are exactly the mirror-EVEN, dimensionless ones; orientation (mirror-odd) and scale are proved to be exactly what the OBSERVER supplies -- m004's amphichirality is cited, not re-derived, as the underlying fact.	Classify each ∞-place datum by mirror-parity (orientation-reversing self-isometry action) and dimensionfulness; Vol/cusp-shape/length-spectrum are mirror-even (object); Chern-Simons/torsion-sign/orientation are mirror-odd (observer); CS≡0 because m004 is amphichiral.	No σ:a→ab,b→a rule appears here; the arc's whole conclusion is that orientation is by construction the observer-supplied (mirror-odd) complement to the object's mirror-even data, i.e. a side is chosen, not derived, and m004's amphichirality (no intrinsic orientation) is exactly why.	"FINDINGS.md:11-12: ""Classify each datum the object carries at the archimedean (∞) place by how the mirror (the orientation-reversing self-isometry -- m004 is amphichiral) acts on it""; FINDINGS.md:29-32: ""THE DECIDER: an archimedean datum is object-canonical iff it is mirror-EVEN and dimensionless ... The observer supplies exactly the complement: the mirror-odd completion (the orientation bit ...)"""	
F001	B1169_qualia_parity_synthesis	OBSERVER_CHOICE	STANDS	MIXED	none run directly in this arc (re-cites B1168's parity facts and B1163's amphichirality result)	Synthesis: 'CHOICE' is explicitly named as the mirror-odd orientation bit, always observer-supplied (never object-derived); the rule σ:a→ab,b→a is cited only as the arithmetic root of a conserved trace κ, not as a source of orientation.	Four independent probes (QP-4 no-hatch, B1163 amphichiral⇒no canonical orientation, B1168/C5 parity, B1134/5 real-structure fork) converge on: the object cannot self-close/self-orient; the missing bit is named CHOICE = mirror-odd orientation = observer-supplied.	This is the one arc in the packet that literally quotes σ:a→ab,b→a; it uses σ only to source a conserved arithmetic quantity (κ=tr[a,b], the Perron eigenvalue φ) in a field, and explicitly does NOT use σ to derive orientation -- orientation is defined as exactly the observer-supplied bit the object provably lacks.	"FINDINGS.md:20-23: ""The arithmetic ties it to the σ/κ root: the object-paid phase is μ₆ ... the blanket's shape carries √3 ... Both live in the field σ: a→ab, b→a generates (Perron eigenvalue φ, conserved κ=tr[a,b]). The recessive root was quietly active under this week's archimedean work.""; FINDINGS.md:25-28: ""CHOICE = the mirror-odd orientation, observer-supplied ... The 'choice the object lacks' is the mirror-odd orientation bit."""	
F001	B1174_z2_identification	ARITHMETIC_GALOIS	STANDS	COMPUTED	none (a Galois/trace-conjugation identification, not an is_isometric_to or symmetry_group call)	Proves the mirror = chirality = the generator c of Gal(K/ℚ), K=ℚ(√-3), via SnapPy trace-conjugation on m004; orientation is an arithmetic (Galois) label, not something σ derives, and other program ℤ/2's are proved to be different legs (not the same involution).	Reversed m004's holonomy traces on generators a,b,ab are the field-automorphism conjugates of the unreversed traces (SnapPy, 1e-9 numeric); this identifies the geometric mirror with the Galois generator c of K=ℚ(√-3)/ℚ, located exactly inside two Klein four-groups by exact reduction mod Φ₁₂.	The generators a,b here are m004's fundamental-group/holonomy generators (SL2C representation), not the substitution-rule letters of σ:a→ab,b→a; this arc derives orientation from Galois/arithmetic structure on the trace field, explicitly not from the substitution rule, and no result claims σ intrinsically picks a side.	"verification/z2_identification.txt lines under '(1)': ""mirror traces = conjugate traces (up to sign lift): True"" / ""=> on K=Q(sqrt-3) inside C, the mirror acts as complex conjugation c = Gal(K/Q)'s generator.""; FINDINGS.md:18-21: ""c = the mirror = chirality = Gal(K/ℚ)'s generator, verified: The mirror acts on traces as complex conjugation (SnapPy: the reversed m004's holonomy traces are the conjugates ...)"""	
F001	B1181_amphichirality_closure	NONE_OBJECT_AMPHICHIRAL	STANDS	COMPUTED	"is_isometric_to(mirror) -- verification/reproduce.sh: ""W = M.copy(); W.reverse_orientation() ... amph = M.is_isometric_to(W) ... assert amph is True"""	Confirms 83/83 amphichirality across the corrected family (m004 included) using is_isometric_to(reverse_orientation-copy) -- i.e. exactly the is_isometric_to(mirror) test the audit flags as known-vacuous -- despite the record's own claim to be avoiding a 'vacuity trap'.	For each named manifold M, build W=M.copy(); W.reverse_orientation(); assert M.is_isometric_to(W) is True across randomize() retries; this is is_isometric_to(mirror), not symmetry_group().is_amphicheiral() or a Chern-Simons computation.	The document's own framing text names 'isometry_signature' as the vacuity trap it avoided, but the actual method run -- M.is_isometric_to(reverse_orientation copy) -- is precisely the is_isometric_to(mirror) call the audit brief identifies as the known-vacuous amphichirality test; this is a genuine mislabeling risk worth flagging to the seat even though the underlying conclusion (m004 and 82 siblings amphichiral) is not itself about deriving an orientation from σ.	"verification/reproduce.sh:1-2: ""# B1181 -- the amphichirality debt closed: cc3's 83/83, spot-verified here 5/5 by MIRROR-ISOMETRY (deliberately not isometry_signature -- the known vacuity trap).""; reproduce.sh body: ""M = snappy.Manifold(name); W = M.copy(); W.reverse_orientation() ... amph = M.is_isometric_to(W); ... assert amph is True, name"""	
F002	B1208_cross_seat_harvest	ARITHMETIC_GALOIS	STANDS	MIXED	none (this leg identifies the mirror map with Galois/complex conjugation on the trace field; no is_isometric_to/is_amphicheiral call is run here)	LEG 5: mirror = complex conjugation = the Φ3-root swap = c, derived from t satisfying the same relator under conj; LEG 6: κ separates object's point from its Galois-conjugate/mirror point, proving the mirror is irremovable by any internal symmetry.	t^2=t-1 makes t a primitive 6th root, ω=t^2 a primitive cube root; conj(t)=1-t satisfies the same relator so conjugation acts on the character variety and reverses orientation, i.e. mirror=c. Separately κ(P0)=1+ω vs κ(gal P0)=2-ω and every internal group element preserves κ identically, so nothing carries gal(P0) back to P0.	This arc derives handedness from a Galois/complex-conjugation structure on the trace field, i.e. an arithmetic label, not from σ:a→ab,b→a directly nor by observer fiat. No B1208 hits appear in docs/RETRACTIONS.md; not retracted.	"frontier/B1208_cross_seat_harvest/FINDINGS.md:141-142: ""involution on them; `ω² = conj(ω)`; and `conj(t) = 1 − t` **satisfies the same relator**, so\nconjugation acts on the character variety and reverses orientation. **⟹ mirror = conjugation = the"	
